さいたま市町名別人口,2022/2/28,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11103,大宮区　　               ,吉敷町１丁目　　　　,キシキチヨウ１チヨウ,643,655,647,1302
11103,大宮区　　               ,吉敷町２丁目　　　　,キシキチヨウ２チヨウ,881,816,793,1609
11103,大宮区　　               ,吉敷町３丁目　　　　,キシキチヨウ３チヨウ,692,631,664,1295
11103,大宮区　　               ,吉敷町４丁目　　　　,キシキチヨウ４チヨウ,789,586,695,1281
11103,大宮区　　               ,浅間町１丁目　　　　,センゲンチヨウ１チヨ,667,584,605,1189
11103,大宮区　　               ,浅間町２丁目　　　　,センゲンチヨウ１チヨ,707,755,755,1510
11103,大宮区　　               ,天沼町１丁目　　　　,アマヌマチヨウ１チヨ,2267,2245,2270,4515
11103,大宮区　　               ,天沼町２丁目　　　　,アマヌマチヨウ２チヨ,2347,2474,2549,5023
11103,大宮区　　               ,堀の内町１丁目　　　,ホリノウチチヨウ１チ,2325,2199,2400,4599
11103,大宮区　　               ,堀の内町２丁目　　　,ホリノウチチヨウ２チ,910,931,939,1870
11103,大宮区　　               ,堀の内町３丁目　　　,ホリノウチチヨウ３チ,1031,1032,1086,2118
11103,大宮区　　               ,寿能町１丁目　　　　,ジユノウチヨウ１チヨ,813,715,768,1483
11103,大宮区　　               ,寿能町２丁目　　　　,ジユノウチヨウ２チヨ,1472,1378,1593,2971
11103,大宮区　　               ,高鼻町１丁目　　　　,タカハナチヨウ１チヨ,1003,950,1048,1998
11103,大宮区　　               ,高鼻町２丁目　　　　,タカハナチヨウ２チヨ,683,715,707,1422
11103,大宮区　　               ,高鼻町３丁目　　　　,タカハナチヨウ３チヨ,318,309,339,648
11103,大宮区　　               ,高鼻町４丁目　　　　,タカハナチヨウ４チヨ,4,2,5,7
11103,大宮区　　               ,土手町１丁目　　　　,ドテチヨウ１チヨウメ,1239,1112,1088,2200
11103,大宮区　　               ,土手町２丁目　　　　,ドテチヨウ２チヨウメ,399,390,395,785
11103,大宮区　　               ,土手町３丁目　　　　,ドテチヨウ３チヨウメ,757,705,684,1389
11103,大宮区　　               ,宮町１丁目　　　　　,ミヤチヨウ１チヨウメ,114,76,79,155
11103,大宮区　　               ,宮町２丁目　　　　　,ミヤチヨウ２チヨウメ,215,193,170,363
11103,大宮区　　               ,宮町３丁目　　　　　,ミヤチヨウ３チヨウメ,473,425,385,810
11103,大宮区　　               ,宮町４丁目　　　　　,ミヤチヨウ４チヨウメ,718,532,422,954
11103,大宮区　　               ,宮町５丁目　　　　　,ミヤチヨウ５チヨウメ,479,357,247,604
11103,大宮区　　               ,大門町１丁目　　　　,ダイモンチヨウ１チヨ,12,8,12,20
11103,大宮区　　               ,大門町２丁目　　　　,ダイモンチヨウ２チヨ,21,20,22,42
11103,大宮区　　               ,大門町３丁目　　　　,ダイモンチヨウ３チヨ,739,710,734,1444
11103,大宮区　　               ,仲町１丁目　　　　　,ナカチヨウ１チヨウメ,35,34,23,57
11103,大宮区　　               ,仲町２丁目　　　　　,ナカチヨウ２チヨウメ,50,44,32,76
11103,大宮区　　               ,仲町３丁目　　　　　,ナカチヨウ３チヨウメ,367,305,280,585
11103,大宮区　　               ,下町１丁目　　　　　,シモチヨウ１チヨウメ,187,173,193,366
11103,大宮区　　               ,下町２丁目　　　　　,シモチヨウ２チヨウメ,211,181,134,315
11103,大宮区　　               ,下町３丁目　　　　　,シモチヨウ３チヨウメ,1186,1336,1444,2780
11103,大宮区　　               ,東町１丁目　　　　　,アズマチヨウ１チヨウ,821,782,794,1576
11103,大宮区　　               ,東町２丁目　　　　　,アズマチヨウ２チヨウ,872,816,818,1634
11103,大宮区　　               ,桜木町１丁目　　　　,サクラギチヨウ１チヨ,666,663,737,1400
11103,大宮区　　               ,桜木町２丁目　　　　,サクラギチヨウ２チヨ,844,692,646,1338
11103,大宮区　　               ,桜木町３丁目　　　　,サクラギチヨウ３チヨ,611,585,580,1165
11103,大宮区　　               ,桜木町４丁目　　　　,サクラギチヨウ４チヨ,3046,3037,3018,6055
11103,大宮区　　               ,錦町　　　　　　　　,ニシキチヨウ　　　　,1,2,1,3
11103,大宮区　　               ,大成町１丁目　　　　,オオナリチヨウ１チヨ,2174,2120,2099,4219
11103,大宮区　　               ,大成町２丁目　　　　,オオナリチヨウ２チヨ,1626,1703,1705,3408
11103,大宮区　　               ,大成町３丁目　　　　,オオナリチヨウ３チヨ,2222,2251,2228,4479
11103,大宮区　　               ,＿引町１丁目　　　　,クシヒキチヨウ１チヨ,3132,3333,3421,6754
11103,大宮区　　               ,三橋１丁目　　　　　,ミハシ１チヨウメ　　,4154,4643,4741,9384
11103,大宮区　　               ,三橋２丁目　　　　　,ミハシ２チヨウメ　　,2829,3163,3037,6200
11103,大宮区　　               ,三橋３丁目　　　　　,ミハシ３チヨウメ　　,827,857,837,1694
11103,大宮区　　               ,三橋４丁目　　　　　,ミハシ４チヨウメ　　,2447,2604,2622,5226
11103,大宮区　　               ,上小町　　　　　　　,カミコチヨウ　　　　,4999,4953,5005,9958
11104,見沼区　　               ,大和田町１丁目　　　,オオワダチヨウ１チヨ,4278,4319,4391,8710
11104,見沼区　　               ,大和田町２丁目　　　,オオワダチヨウ２チヨ,3637,3859,4095,7954
11104,見沼区　　               ,大字砂　　　　　　　,スナ　　　　　　　　,4,3,1,4
