さいたま市町名別人口,2022/3/31,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11101,西区　　　               ,宮前町　　　　　　　,ミヤマエチヨウ　　　,1523,1718,1714,3432
11101,西区　　　               ,三橋５丁目　　　　　,ミハシ５チヨウメ　　,1667,1742,1737,3479
11101,西区　　　               ,三橋６丁目　　　　　,ミハシ６チヨウメ　　,4314,4879,4899,9778
11101,西区　　　               ,大字指扇　　　　　　,サシオウギ　　　　　,8165,8724,8933,17657
11101,西区　　　               ,大字指扇領別所　　　,サシオウギリヨウ　　,1333,1274,1357,2631
11101,西区　　　               ,大字宝来　　　　　　,ホウライ　　　　　　,1843,1839,1949,3788
11101,西区　　　               ,大字峰岸　　　　　　,ミネギシ　　　　　　,307,268,314,582
11101,西区　　　               ,大字指扇領辻　　　　,サシオウギリヨウ　　,176,207,196,403
11101,西区　　　               ,大字中釘　　　　　　,ナカクギ　　　　　　,841,899,957,1856
11101,西区　　　               ,大字高木　　　　　　,タカギ　　　　　　　,1244,1355,1402,2757
11101,西区　　　               ,大字清河寺　　　　　,セイガンジ　　　　　,568,562,613,1175
11101,西区　　　               ,大字内野本郷　　　　,ウチノホンゴウ　　　,2405,2790,2742,5532
11101,西区　　　               ,大字西新井　　　　　,ニシアライ　　　　　,271,298,300,598
11101,西区　　　               ,大字平方領々家　　　,ヒラカタリヨウリヨ　,116,153,146,299
11101,西区　　　               ,大字西遊馬　　　　　,ニシアスマ　　　　　,2127,2210,2266,4476
11101,西区　　　               ,大字土屋　　　　　　,ツチヤ　　　　　　　,1646,1673,1712,3385
11101,西区　　　               ,大字二ツ宮　　　　　,フタツミヤ　　　　　,925,1009,1079,2088
11101,西区　　　               ,大字飯田新田　　　　,イイダシンデン　　　,460,514,485,999
11101,西区　　　               ,大字塚本　　　　　　,ツカモト　　　　　　,20,17,17,34
11101,西区　　　               ,大字植田谷本村新田　,ウエタヤホンムラシン,7,6,6,12
11101,西区　　　               ,湯木町１丁目　　　　,ユギチヨウ１チヨウメ,38,44,47,91
11101,西区　　　               ,湯木町２丁目　　　　,ユギチヨウ２チヨウメ,47,53,54,107
11101,西区　　　               ,塚本町１丁目　　　　,ツカモトチヨウ１チヨ,30,29,29,58
11101,西区　　　               ,塚本町２丁目　　　　,ツカモトチヨウ２チヨ,49,59,55,114
11101,西区　　　               ,塚本町３丁目　　　　,ツカモトチヨウ３チヨ,59,73,74,147
11101,西区　　　               ,プラザ　　　　　　　,プラザ　　　　　　　,1500,1591,1735,3326
11101,西区　　　               ,大字島根　　　　　　,シマネ　　　　　　　,498,546,576,1122
11101,西区　　　               ,大字三条町　　　　　,サンジヨウチヨウ　　,213,250,257,507
11101,西区　　　               ,大字植田谷本　　　　,ウエタヤホン　　　　,1268,1205,1251,2456
11101,西区　　　               ,大字中野林　　　　　,ナカノバヤシ　　　　,929,1059,1066,2125
11101,西区　　　               ,大字飯田　　　　　　,イイダ　　　　　　　,452,548,534,1082
11101,西区　　　               ,大字水判土　　　　　,ミズハタ　　　　　　,647,732,760,1492
11101,西区　　　               ,大字佐知川　　　　　,サヂカワ　　　　　　,3307,3659,3784,7443
11101,西区　　　               ,西大宮１丁目　　　　,ニシオオミヤ１チヨウ,1008,1047,1086,2133
11101,西区　　　               ,西大宮２丁目　　　　,ニシオオミヤ２チヨウ,586,785,769,1554
11101,西区　　　               ,西大宮３丁目　　　　,ニシオオミヤ３チヨウ,1299,1602,1608,3210
11101,西区　　　               ,西大宮４丁目　　　　,ニシオオミヤ４チヨウ,863,1262,1234,2496
11102,北区　　　               ,大成町４丁目　　　　,オオナリチヨウ４チヨ,2986,3128,3244,6372
11102,北区　　　               ,東大成町１丁目　　　,ヒガシオオナリチヨウ,2575,2365,2333,4698
11102,北区　　　               ,東大成町２丁目　　　,ヒガシオオナリチヨウ,2677,2831,2947,5778
11102,北区　　　               ,日進町１丁目　　　　,ニツシンチヨウ１チヨ,4938,5397,4734,10131
11102,北区　　　               ,日進町２丁目　　　　,ニツシンチヨウ２チヨ,7532,7519,8047,15566
11102,北区　　　               ,日進町３丁目　　　　,ニツシンチヨウ３チヨ,2837,2800,2866,5666
11102,北区　　　               ,＿引町２丁目　　　　,クシヒキチヨウ２チヨ,2291,2477,2560,5037
11102,北区　　　               ,宮原町１丁目　　　　,ミヤハラチヨウ１チヨ,4662,5312,5539,10851
11102,北区　　　               ,宮原町２丁目　　　　,ミヤハラチヨウ２チヨ,3209,3245,3066,6311
11102,北区　　　               ,宮原町３丁目　　　　,ミヤハラチヨウ３チヨ,3389,3722,3831,7553
11102,北区　　　               ,宮原町４丁目　　　　,ミヤハラチヨウ４チヨ,3106,3289,3211,6500
11102,北区　　　               ,吉野町１丁目　　　　,ヨシノチヨウ１チヨウ,3244,3628,3492,7120
11102,北区　　　               ,吉野町２丁目　　　　,ヨシノチヨウ２チヨウ,1961,2110,2053,4163
11102,北区　　　               ,別所町　　　　　　　,ベツシヨチヨウ　　　,2646,2958,3046,6004
11102,北区　　　               ,奈良町　　　　　　　,ナラチヨウ　　　　　,4514,4814,4768,9582
11102,北区　　　               ,植竹町１丁目　　　　,ウエタケチヨウ１チヨ,2336,2432,2551,4983
11102,北区　　　               ,植竹町２丁目　　　　,ウエタケチヨウ２チヨ,772,585,818,1403
11102,北区　　　               ,盆栽町　　　　　　　,ボンサイチヨウ　　　,1865,1852,1997,3849
11102,北区　　　               ,土呂町　　　　　　　,トロチヨウ　　　　　,311,265,256,521
11102,北区　　　               ,土呂町１丁目　　　　,トロチヨウ１チヨウメ,3079,3052,3225,6277
