No,区分,施設名,大分類,中分類,小分類,細分類,所在地,経度,緯度
18,コミュニティ関連施設,南浦和コミュニティセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,南区大谷場２丁目6番25,139.67218,35.854538
19,コミュニティ関連施設,コミュニティセンターいわつき,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,岩槻区本町１丁目10番7,139.691683,35.947022
20,コミュニティ関連施設,岩槻駅東口コミュニティセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,岩槻区本町３丁目1番1,139.693877,35.950458
21,コミュニティ関連施設,ふれあいプラザいわつき,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,岩槻区東岩槻６丁目6番,139.716358,35.96204
22,コミュニティ関連施設,日進公園コミュニティセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,北区日進町１丁目312番2,139.605,35.921839
23,コミュニティ関連施設,サウスピア（武蔵浦和コミュニティセンター）,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,南区別所７丁目20番1,139.645361,35.845312
24,コミュニティ関連施設,美園コミュニティセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,緑区美園４丁目19番１,139.72739,35.89497
25,公民館,生涯学習総合センター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,生涯学習推進センター,大宮区桜木町１丁目10番18,139.618766,35.90542
26,公民館,指扇公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,拠点公民館,西区西大宮２丁目13番1,139.572086,35.925141
27,公民館,大砂土公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,拠点公民館,北区本郷町284番,139.630123,35.938987
28,公民館,大砂土東公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,拠点公民館,見沼区大和田町２丁目1445番,139.648844,35.931428
29,公民館,田島公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,拠点公民館,桜区田島３丁目27番6,139.632803,35.845452
30,公民館,文蔵公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,拠点公民館,南区文蔵４丁目19番3,139.669755,35.83801
31,公民館,大古里公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,拠点公民館,緑区大字三室2614番2,139.672956,35.887293
32,公民館,岩槻本丸公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,拠点公民館,岩槻区本丸３丁目17番1,139.705262,35.954119
33,公民館,鈴谷公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,拠点公民館,中央区鈴谷７丁目5番11,139.624233,35.874149
34,公民館,岸町公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,拠点公民館,浦和区岸町５丁目1番3,139.654503,35.85216
35,公民館,桜木公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,拠点公民館,大宮区桜木町１丁目10番18,139.61825,35.905599
36,公民館,馬宮公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,西区大字西遊馬236番2,139.573128,35.90365
37,公民館,植水公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,西区大字中野林173番2,139.591685,35.893938
38,公民館,日進公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,北区日進町２丁目1195番2,139.604225,35.927363
39,公民館,宮原公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,北区宮原町４丁目66番4,139.611055,35.946948
40,公民館,植竹公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,北区盆栽町430番,139.628148,35.927397
41,公民館,大宮南公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,大宮区吉敷町４丁目223番2,139.635718,35.898343
42,公民館,大宮中部公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,大宮区仲町３丁目30番2,139.628935,35.90509
43,公民館,大宮北公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,大宮区宮町３丁目113番3,139.628571,35.911491
44,公民館,大成公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,大宮区大成町２丁目335番1,139.611516,35.913935
45,公民館,大宮東公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,大宮区堀の内町３丁目140番,139.636644,35.914117
46,公民館,片柳公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,見沼区大字東新井117番2,139.670831,35.909734
47,公民館,七里公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,見沼区大字東宮下265番1,139.677413,35.927221
48,公民館,春岡公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,見沼区深作１丁目5番1,139.664369,35.950796
49,公民館,大戸公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,中央区大戸３丁目14番21,139.637285,35.865753
50,公民館,与野本町公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,中央区本町西１丁目14番12,139.619394,35.882089
51,公民館,上落合公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,中央区上落合６丁目9番3,139.623469,35.893516
52,公民館,下落合公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,中央区下落合５丁目4番17,139.628624,35.884512
53,公民館,土合公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,桜区西堀４丁目2番35,139.627784,35.85179
54,公民館,大久保公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,桜区大字五関839番2,139.597827,35.870238
55,公民館,栄和公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,桜区道場２丁目11番27,139.61329,35.858739
56,公民館,大久保東公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,桜区大字大久保領家131番6,139.608243,35.86956
57,公民館,浦和南公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,浦和区神明１丁目28番13,139.661008,35.850114
58,公民館,上木崎公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,浦和区上木崎３丁目2番14,139.645673,35.887256
59,公民館,大東公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,浦和区大東２丁目13番16,139.662618,35.883385
60,公民館,仲本公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,浦和区本太２丁目12番40,139.662044,35.860599
61,公民館,針ヶ谷公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,浦和区針ヶ谷３丁目4番14,139.641981,35.88274
62,公民館,本太公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,浦和区本太４丁目3番23,139.657972,35.866734
63,公民館,常盤公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,浦和区常盤９丁目30番1,139.643144,35.871179
64,公民館,北浦和公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,浦和区北浦和２丁目19番25,139.647737,35.877613
65,公民館,南箇公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,浦和区領家３丁目15番10,139.657988,35.876941
66,公民館,南浦和公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,南区大谷場２丁目6番25,139.67218,35.854538
67,公民館,谷田公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,南区大字大谷口1089番1,139.677004,35.861515
68,公民館,西浦和公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,南区曲本２丁目7番11,139.638855,35.837781
69,公民館,別所公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,南区別所５丁目21番13,139.643602,35.849494
70,公民館,東浦和公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,南区大字大谷口5339番,139.695075,35.861251
71,公民館,三室公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,緑区大字三室1946番5,139.681575,35.883143
72,公民館,尾間木公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,緑区大字大間木472番,139.693833,35.87428
73,公民館,原山公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,緑区原山２丁目33番1,139.668551,35.871447
74,公民館,美園公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,緑区大字大門1973番1,139.717841,35.889543
75,公民館,岩槻南部公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,岩槻区大字笹久保1348番1,139.715712,35.916421
76,公民館,岩槻北部公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,岩槻区大字慈恩寺904番1,139.714257,35.980109
77,公民館,岩槻城址公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,岩槻区太田３丁目4番1,139.710797,35.951736
78,公民館,仲町公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,浦和区常盤４丁目1番12,139.649856,35.861359
79,公民館,善前公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,南区大字太田窪2504番5,139.687012,35.853822
80,公民館,領家公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,浦和区領家４丁目21番21,139.65373,35.882123
81,公民館,三橋公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,大宮区三橋２丁目20番,139.605062,35.903948
82,公民館,六辻公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,南区根岸３丁目10番7,139.662348,35.839765
83,公民館,岩槻本町公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,岩槻区本町４丁目2番25,139.697613,35.949161
84,公民館,内野公民館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,地区公民館,西区三橋６丁目1457番1,139.591729,35.920767
85,市民文化施設,文化センター,市民利用施設,市民文化・社会教育系施設,市民文化施設,市民文化施設,南区根岸１丁目7番1,139.6635671,35.843456
86,市民文化施設,市民会館うらわ,市民利用施設,市民文化・社会教育系施設,市民文化施設,市民文化施設,浦和区仲町２丁目10番22,139.6515054,35.8603528
87,市民文化施設,市民会館おおみや,市民利用施設,市民文化・社会教育系施設,市民文化施設,市民文化施設,大宮区下町３丁目47番8,139.630886,35.902818
88,市民文化施設,市民会館いわつき,市民利用施設,市民文化・社会教育系施設,市民文化施設,市民文化施設,岩槻区太田３丁目1番1,139.7089724,35.9507293
89,市民文化施設,大宮ソニック市民ホール,市民利用施設,市民文化・社会教育系施設,市民文化施設,市民文化施設,大宮区桜木町１丁目7番5,139.61944,35.905825
90,市民文化施設,盆栽四季の家,市民利用施設,市民文化・社会教育系施設,市民文化施設,市民文化施設,北区盆栽町267番1,139.6332595,35.9267663
91,市民文化施設,氷川の杜文化館,市民利用施設,市民文化・社会教育系施設,市民文化施設,伝統文化施設,大宮区高鼻町２丁目262番2,139.6316398,35.9136824
92,市民文化施設,恭慶館,市民利用施設,市民文化・社会教育系施設,市民文化施設,伝統文化施設,浦和区常盤９丁目30番5,139.644553,35.869428
93,図書館等,中央図書館,市民利用施設,市民文化・社会教育系施設,図書館等,中央図書館,浦和区東高砂町11番1,139.659134,35.858694
94,図書館等,北浦和図書館,市民利用施設,市民文化・社会教育系施設,図書館等,拠点図書館,浦和区北浦和１丁目4番2,139.646351,35.87483
95,図書館等,東浦和図書館,市民利用施設,市民文化・社会教育系施設,図書館等,拠点図書館,緑区大字中尾1440番8,139.685728,35.871739
96,図書館等,旧大宮図書館,市民利用施設,市民文化・社会教育系施設,図書館等,拠点図書館,大宮区高鼻町２丁目1番1,139.631183,35.911315
97,図書館等,大宮図書館,市民利用施設,市民文化・社会教育系施設,図書館等,拠点図書館,大宮区吉敷町１丁目124番地１,139.630632,35.901782
98,図書館等,大宮西部図書館,市民利用施設,市民文化・社会教育系施設,図書館等,拠点図書館,北区櫛引町２丁目499番1,139.609488,35.919435
99,図書館等,春野図書館,市民利用施設,市民文化・社会教育系施設,図書館等,拠点図書館,見沼区春野２丁目12番1,139.660822,35.959106
100,図書館等,与野図書館,市民利用施設,市民文化・社会教育系施設,図書館等,拠点図書館,中央区下落合５丁目11番11,139.627124,35.885236
101,図書館等,岩槻図書館,市民利用施設,市民文化・社会教育系施設,図書館等,拠点図書館,岩槻区本町４丁目2番25,139.697613,35.949161
102,図書館等,桜図書館,市民利用施設,市民文化・社会教育系施設,図書館等,拠点図書館,桜区道場４丁目3番1,139.610229,35.856053
103,図書館等,北図書館,市民利用施設,市民文化・社会教育系施設,図書館等,拠点図書館,北区宮原町１丁目852番1,139.620229,35.93151
104,図書館等,武蔵浦和図書館,市民利用施設,市民文化・社会教育系施設,図書館等,拠点図書館,南区別所７丁目20番1,139.645361,35.845312
105,図書館等,美園図書館,市民利用施設,市民文化・社会教育系施設,図書館等,地区図書館,緑区大字美園４丁目19番地1,139.72739,35.89497
106,図書館等,桜木図書館,市民利用施設,市民文化・社会教育系施設,図書館等,地区図書館,大宮区桜木町１丁目10番18,139.618766,35.90542
107,図書館等,馬宮図書館,市民利用施設,市民文化・社会教育系施設,図書館等,地区図書館,西区大字西遊馬533番1,139.572728,35.905091
108,図書館等,大宮東図書館,市民利用施設,市民文化・社会教育系施設,図書館等,地区図書館,見沼区堀崎町48番1,139.657434,35.934434
109,図書館等,七里図書館,市民利用施設,市民文化・社会教育系施設,図書館等,地区図書館,見沼区大字大谷1210番,139.674347,35.921041
110,図書館等,片柳図書館,市民利用施設,市民文化・社会教育系施設,図書館等,地区図書館,見沼区染谷３丁目147番1,139.684055,35.909901
111,図書館等,与野南図書館,市民利用施設,市民文化・社会教育系施設,図書館等,地区図書館,中央区大戸６丁目28番16,139.633983,35.866855
112,図書館等,岩槻駅東口図書館,市民利用施設,市民文化・社会教育系施設,図書館等,地区図書館,岩槻区本町３丁目1番1,139.693877,35.950458
113,図書館等,岩槻東部図書館,市民利用施設,市民文化・社会教育系施設,図書館等,地区図書館,岩槻区東岩槻６丁目6番,139.716358,35.96204
114,図書館等,宮原図書館,市民利用施設,市民文化・社会教育系施設,図書館等,地区図書館,北区吉野町２丁目195番1,139.600761,35.958573
115,図書館等,南浦和図書館,市民利用施設,市民文化・社会教育系施設,図書館等,地区図書館,南区根岸１丁目7番1,139.663561,35.843489
116,図書館等,大宮西部図書館三橋分館,市民利用施設,市民文化・社会教育系施設,図書館等,分館,西区三橋６丁目642番4,139.591937,35.917659
117,図書館等,与野図書館西分館,市民利用施設,市民文化・社会教育系施設,図書館等,分館,中央区桜丘２丁目6番28,139.61492,35.882189
118,図書館等,桜図書館大久保東分館,市民利用施設,市民文化・社会教育系施設,図書館等,分館,桜区大字大久保領家131番6,139.608243,35.86956
119,博物館等,さいたま市立博物館,市民利用施設,市民文化・社会教育系施設,博物館等,博物館・資料館,大宮区高鼻町２丁目1番2,139.631615,35.911333
120,博物館等,岩槻人形博物館敷地,市民利用施設,市民文化・社会教育系施設,博物館等,博物館・資料館,岩槻区本町６丁目１番１号,139.700082,35.950849
121,博物館等,岩槻郷土資料館,市民利用施設,市民文化・社会教育系施設,博物館等,博物館・資料館,岩槻区本町２丁目2番34,139.693427,35.945508
122,博物館等,岩槻藩遷喬館,市民利用施設,市民文化・社会教育系施設,博物館等,博物館・資料館,岩槻区本町４丁目8番9,139.698099,35.948875
123,博物館等,浦和博物館,市民利用施設,市民文化・社会教育系施設,博物館等,博物館・資料館,緑区大字三室2458番,139.677607,35.890516
124,博物館等,浦和くらしの博物館民家園,市民利用施設,市民文化・社会教育系施設,博物館等,博物館・資料館,緑区大字下山口新田1179番1,139.710611,35.878366
125,博物館等,鴻沼資料館,市民利用施設,市民文化・社会教育系施設,博物館等,博物館・資料館,桜区西堀４丁目1番4,139.628264,35.851168
126,博物館等,旧高野家離座敷,市民利用施設,市民文化・社会教育系施設,博物館等,博物館・資料館,緑区大字大間木3丁目30番地11,139.690465,35.878518
127,博物館等,旧坂東家住宅見沼くらしっく館,市民利用施設,市民文化・社会教育系施設,博物館等,博物館・資料館,見沼区大字片柳1266番2,139.690795,35.906217
128,博物館等,与野郷土資料館,市民利用施設,市民文化・社会教育系施設,博物館等,博物館・資料館,中央区本町東３丁目5番23,139.6233217,35.88403651
129,博物館等,土器の館,市民利用施設,市民文化・社会教育系施設,博物館等,文化財資料室,大宮区高鼻町２丁目305番4,139.632368,35.915652
130,博物館等,与野文化財資料室,市民利用施設,市民文化・社会教育系施設,博物館等,文化財資料室,中央区下落合６丁目10番3,139.626619,35.882762
131,博物館等,うらわ美術館,市民利用施設,市民文化・社会教育系施設,博物館等,美術館等,浦和区仲町２丁目5番1,139.652495,35.860757
132,博物館等,大宮盆栽美術館,市民利用施設,市民文化・社会教育系施設,博物館等,美術館等,北区土呂町２丁目24番3,139.633129,35.928828
133,博物館等,漫画会館,市民利用施設,市民文化・社会教育系施設,博物館等,美術館等,北区盆栽町150番,139.6318302,35.9256293
134,博物館等,青少年宇宙科学館,市民利用施設,市民文化・社会教育系施設,博物館等,科学館等,浦和区駒場２丁目3番45,139.66456,35.872375
135,博物館等,宇宙劇場,市民利用施設,市民文化・社会教育系施設,博物館等,科学館等,大宮区錦町682番2,139.621641,35.908119
136,博物館等,防災センター防災展示ホール,市民利用施設,市民文化・社会教育系施設,博物館等,防災センター防災展示ホール,大宮区天沼町１丁目893番,139.6475,35.907378
137,博物館等,時の鐘,市民利用施設,市民文化・社会教育系施設,博物館等,指定文化財,岩槻区本町６丁目2番27,139.701766,35.951817
138,博物館等,岩槻城城門（黒門）,市民利用施設,市民文化・社会教育系施設,博物館等,指定文化財,岩槻区太田３丁目4番1 岩槻城址公園内,139.710472,35.951146
139,博物館等,岩槻城裏門,市民利用施設,市民文化・社会教育系施設,博物館等,指定文化財,岩槻区太田３丁目4番1 岩槻城址公園内,139.71089,35.950725
140,博物館等,藤橋の六部堂,市民利用施設,市民文化・社会教育系施設,博物館等,指定文化財,西区大字植田谷本66番2,139.602343,35.888608
141,博物館等,見沼通船掘休憩所,市民利用施設,市民文化・社会教育系施設,博物館等,指定文化財,緑区大字下山口新田51番,139.717743,35.863412
142,社会教育系その他施設,男女共同参画推進センター,市民利用施設,市民文化・社会教育系施設,社会教育系その他施設,男女共同参画施設,大宮区桜木町１丁目10番18,139.618766,35.90542
143,社会教育系その他施設,五反田会館,市民利用施設,市民文化・社会教育系施設,社会教育系その他施設,人権教育集会所,見沼区大字南中丸1370番5,139.655274,35.920969
144,社会教育系その他施設,鹿室南集会所,市民利用施設,市民文化・社会教育系施設,社会教育系その他施設,人権教育集会所,岩槻区大字鹿室1120番2,139.702145,35.989934
145,社会教育系その他施設,若者自立支援ルーム（桜木）,市民利用施設,市民文化・社会教育系施設,社会教育系その他施設,青少年活動施設,大宮区桜木町２丁目227番,139.619509,35.907048
146,社会教育系その他施設,若者自立支援ルーム（南浦和）,市民利用施設,市民文化・社会教育系施設,社会教育系その他施設,青少年活動施設,南区南浦和２丁目２７番１６号,139.670325,35.848939
147,社会教育系その他施設,グリーンライフ猿花キャンプ場,市民利用施設,市民文化・社会教育系施設,社会教育系その他施設,青少年活動施設,見沼区大字南中野975番2,139.664637,35.91653
148,体育館等,記念総合体育館,市民利用施設,スポーツ・レクリエーション施設,体育館等,体育館,桜区道場４丁目3番1,139.6089199,35.8557382
149,体育館等,浦和駒場体育館,市民利用施設,スポーツ・レクリエーション施設,体育館等,体育館,浦和区駒場２丁目5番6,139.6622157,35.8723751
150,体育館等,大宮体育館,市民利用施設,スポーツ・レクリエーション施設,体育館等,体育館,見沼区大和田町１丁目305番,139.6447369,35.9229167
151,体育館等,与野体育館,市民利用施設,スポーツ・レクリエーション施設,体育館等,体育館,中央区下落合５丁目8番10,139.6258538,35.8843701
152,体育館等,浦和西体育館,市民利用施設,スポーツ・レクリエーション施設,体育館等,体育館,桜区大字下大久保1676番1,139.6015371,35.8587788
153,体育館等,大宮武道館,市民利用施設,スポーツ・レクリエーション施設,体育館等,武道館,見沼区堀崎町12番36,139.655506,35.935074
154,体育館等,八王子スポーツ施設,市民利用施設,スポーツ・レクリエーション施設,体育館等,スポーツ施設,中央区八王子４丁目1番10,139.60937,35.879348
155,体育館等,大原サッカー場,市民利用施設,スポーツ・レクリエーション施設,体育館等,スポーツ施設,浦和区大原３丁目4番102,139.646775,35.89508
156,体育館等,西大宮サッカー場,市民利用施設,スポーツ・レクリエーション施設,体育館等,スポーツ施設,西区西大宮4丁目25番3ほか,139.576563,35.930926
157,体育館等,宝来グラウンド・ゴルフ場,市民利用施設,スポーツ・レクリエーション施設,体育館等,スポーツ施設,西区大字宝来125番1,139.554271,35.931009
158,レクリエーション施設・保養施設,見沼ヘルシーランド,市民利用施設,スポーツ・レクリエーション系施設,レクリエーション施設・保養施設,レクリエーション施設,緑区大字大崎322番1,139.712628,35.882735
159,レクリエーション施設・保養施設,上野テニスコート,市民利用施設,スポーツ・レクリエーション系施設,レクリエーション施設・保養施設,レクリエーション施設,岩槻区大字上野38番2,139.702181,35.966595
160,レクリエーション施設・保養施設,長宮運動広場,市民利用施設,スポーツ・レクリエーション系施設,レクリエーション施設・保養施設,レクリエーション施設,岩槻区大字長宮23番,139.723327,35.950958
161,レクリエーション施設・保養施設,ホテル南郷,市民利用施設,スポーツ・レクリエーション系施設,レクリエーション施設・保養施設,保養施設,福島県南会津郡南会津町界字猛の入454番-,139.541422,37.267356
162,レクリエーション施設・保養施設,六日町山の家,市民利用施設,スポーツ・レクリエーション系施設,レクリエーション施設・保養施設,保養施設,新潟県南魚沼市大字坂戸831番2,138.888917,37.066843
163,レクリエーション施設・保養施設,新治ファミリーランド,市民利用施設,スポーツ・レクリエーション系施設,レクリエーション施設・保養施設,保養施設,群馬県利根郡みなかみ町相俣159番1,138.896853,36.720104
164,産業振興施設,産業文化センター,市民利用施設,産業系施設,産業振興施設,産業振興施設,中央区下落合５丁目4番3,139.628735,35.883937
165,産業振興施設,産業振興会館,市民利用施設,産業系施設,産業振興施設,産業振興施設,北区日進町２丁目1915番4,139.609055,35.933092
166,産業振興施設,にぎわい交流館いわつき,市民利用施設,産業系施設,産業振興施設,産業振興施設,岩槻区本町６丁目1番2号,139.69909858,35.95104947
167,産業系その他施設,農業者トレーニングセンター,市民利用施設,産業系施設,産業振興施設,産業系その他施設,緑区大字大崎3156番1,139.713019,35.884024
168,産業系その他施設,緑の相談所,市民利用施設,産業系施設,産業振興施設,産業系その他施設,緑区大字大崎87番,139.71439,35.881748
169,産業系その他施設,大宮花の丘農林公苑,市民利用施設,産業系施設,産業振興施設,産業系その他施設,西区大字西新井124番,139.591445,35.939682
170,産業系その他施設,市民の森,市民利用施設,産業系施設,産業振興施設,産業系その他施設,北区見沼２丁目94番,139.640519,35.9331
171,産業系その他施設,春おか広場,市民利用施設,産業系施設,産業振興施設,産業系その他施設,見沼区大字宮ヶ谷塔765番,139.670669,35.943375
172,学校等,高砂小学校,市民利用施設,学校教育系施設,学校等,小学校,浦和区岸町４丁目1番29,139.6567957,35.8565402
173,学校等,常盤小学校,市民利用施設,学校教育系施設,学校等,小学校,浦和区常盤９丁目30番9,139.6431591,35.8687852
174,学校等,木崎小学校,市民利用施設,学校教育系施設,学校等,小学校,浦和区領家４丁目19番4,139.6528972,35.8828389
175,学校等,谷田小学校,市民利用施設,学校教育系施設,学校等,小学校,南区太田窪５丁目10番6,139.6779167,35.8563425
176,学校等,仲本小学校,市民利用施設,学校教育系施設,学校等,小学校,浦和区本太２丁目12番31,139.6610407,35.861645
177,学校等,本太小学校,市民利用施設,学校教育系施設,学校等,小学校,浦和区本太２丁目26番25,139.6575864,35.8652862
178,学校等,三室小学校,市民利用施設,学校教育系施設,学校等,小学校,緑区大字三室1994番,139.6821945,35.8839859
179,学校等,尾間木小学校,市民利用施設,学校教育系施設,学校等,小学校,緑区東浦和８丁目11番5,139.6971483,35.8692123
180,学校等,南浦和小学校,市民利用施設,学校教育系施設,学校等,小学校,南区白幡１丁目1番20,139.6579715,35.8452633
181,学校等,浦和別所小学校,市民利用施設,学校教育系施設,学校等,小学校,南区別所２丁目5番34,139.6481557,35.849628
182,学校等,北浦和小学校,市民利用施設,学校教育系施設,学校等,小学校,浦和区北浦和２丁目18番3,139.6483223,35.8773737
183,学校等,仲町小学校,市民利用施設,学校教育系施設,学校等,小学校,浦和区常盤８丁目18番4,139.6405637,35.8641462
184,学校等,上木崎小学校,市民利用施設,学校教育系施設,学校等,小学校,浦和区上木崎３丁目4番3,139.6429528,35.8877089
185,学校等,岸町小学校,市民利用施設,学校教育系施設,学校等,小学校,浦和区岸町５丁目20番4,139.6502606,35.8510276
186,学校等,大谷場小学校,市民利用施設,学校教育系施設,学校等,小学校,南区南浦和１丁目18番3,139.6679633,35.8527792
187,学校等,土合小学校,市民利用施設,学校教育系施設,学校等,小学校,桜区西堀７丁目21番1,139.6270631,35.8578801
188,学校等,大久保小学校,市民利用施設,学校教育系施設,学校等,小学校,桜区大字五関21番,139.5986255,35.8724273
189,学校等,原山小学校,市民利用施設,学校教育系施設,学校等,小学校,緑区原山１丁目30番12,139.6707648,35.8663979
190,学校等,針ｹ谷小学校,市民利用施設,学校教育系施設,学校等,小学校,浦和区領家７丁目2番1,139.6490582,35.8818921
191,学校等,大谷場東小学校,市民利用施設,学校教育系施設,学校等,小学校,南区大谷場２丁目13番54,139.6749531,35.8534017
192,学校等,大門小学校,市民利用施設,学校教育系施設,学校等,小学校,緑区大字大門1189番,139.7335412,35.8807931
193,学校等,野田小学校,市民利用施設,学校教育系施設,学校等,小学校,緑区大字上野田16番,139.7039548,35.9002314
194,学校等,西浦和小学校,市民利用施設,学校教育系施設,学校等,小学校,南区曲本１丁目3番5,139.6301684,35.8384836
195,学校等,辻小学校,市民利用施設,学校教育系施設,学校等,小学校,南区辻６丁目3番28,139.6583359,35.8332822
196,学校等,大東小学校,市民利用施設,学校教育系施設,学校等,小学校,浦和区大東３丁目14番1,139.6645276,35.8835214
197,学校等,文蔵小学校,市民利用施設,学校教育系施設,学校等,小学校,南区文蔵５丁目16番29,139.6739404,35.8351911
198,学校等,沼影小学校,市民利用施設,学校教育系施設,学校等,小学校,南区沼影２丁目8番36,139.6462743,35.8391289
199,学校等,大谷口小学校,市民利用施設,学校教育系施設,学校等,小学校,南区大字広ヶ谷戸24番,139.6833135,35.8625114
200,学校等,栄和小学校,市民利用施設,学校教育系施設,学校等,小学校,桜区栄和１丁目7番1,139.6175204,35.8617584
201,学校等,道祖土小学校,市民利用施設,学校教育系施設,学校等,小学校,緑区道祖土１丁目1番1,139.6688806,35.874738
202,学校等,田島小学校,市民利用施設,学校教育系施設,学校等,小学校,桜区田島１０丁目12番1,139.6233599,35.8377634
203,学校等,大久保東小学校,市民利用施設,学校教育系施設,学校等,小学校,桜区大字大久保領家331番,139.6034359,35.8712917
204,学校等,浦和大里小学校,市民利用施設,学校教育系施設,学校等,小学校,南区別所７丁目14番28,139.6436311,35.844779
205,学校等,新開小学校,市民利用施設,学校教育系施設,学校等,小学校,桜区新開２丁目18番1,139.6182366,35.8509825
206,学校等,神田小学校,市民利用施設,学校教育系施設,学校等,小学校,桜区大字神田541番1,139.607354,35.8751523
207,学校等,中尾小学校,市民利用施設,学校教育系施設,学校等,小学校,緑区大字中尾2596番1,139.6826742,35.8680829
