さいたま市町名別人口,2021/12/28,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11101,西区　　　               ,宮前町　　　　　　　,ミヤマエチヨウ　　　,1514,1725,1709,3434
11101,西区　　　               ,三橋５丁目　　　　　,ミハシ５チヨウメ　　,1672,1745,1729,3474
11101,西区　　　               ,三橋６丁目　　　　　,ミハシ６チヨウメ　　,4316,4902,4924,9826
11101,西区　　　               ,大字指扇　　　　　　,サシオウギ　　　　　,8078,8706,8909,17615
11101,西区　　　               ,大字指扇領別所　　　,サシオウギリヨウ　　,1336,1277,1371,2648
11101,西区　　　               ,大字宝来　　　　　　,ホウライ　　　　　　,1814,1830,1931,3761
11101,西区　　　               ,大字峰岸　　　　　　,ミネギシ　　　　　　,307,275,318,593
11101,西区　　　               ,大字指扇領辻　　　　,サシオウギリヨウ　　,175,206,195,401
11101,西区　　　               ,大字中釘　　　　　　,ナカクギ　　　　　　,845,909,964,1873
11101,西区　　　               ,大字高木　　　　　　,タカギ　　　　　　　,1249,1354,1417,2771
11101,西区　　　               ,大字清河寺　　　　　,セイガンジ　　　　　,559,553,608,1161
11101,西区　　　               ,大字内野本郷　　　　,ウチノホンゴウ　　　,2391,2794,2725,5519
11101,西区　　　               ,大字西新井　　　　　,ニシアライ　　　　　,272,296,305,601
11101,西区　　　               ,大字平方領々家　　　,ヒラカタリヨウリヨ　,117,152,146,298
11101,西区　　　               ,大字西遊馬　　　　　,ニシアスマ　　　　　,2090,2206,2232,4438
11101,西区　　　               ,大字土屋　　　　　　,ツチヤ　　　　　　　,1614,1650,1683,3333
11101,西区　　　               ,大字二ツ宮　　　　　,フタツミヤ　　　　　,922,1012,1079,2091
11101,西区　　　               ,大字飯田新田　　　　,イイダシンデン　　　,468,521,492,1013
11101,西区　　　               ,大字塚本　　　　　　,ツカモト　　　　　　,18,16,16,32
11101,西区　　　               ,大字植田谷本村新田　,ウエタヤホンムラシン,7,6,6,12
11101,西区　　　               ,湯木町１丁目　　　　,ユギチヨウ１チヨウメ,40,47,49,96
11101,西区　　　               ,湯木町２丁目　　　　,ユギチヨウ２チヨウメ,47,53,54,107
11101,西区　　　               ,塚本町１丁目　　　　,ツカモトチヨウ１チヨ,30,30,29,59
11101,西区　　　               ,塚本町２丁目　　　　,ツカモトチヨウ２チヨ,47,57,54,111
11101,西区　　　               ,塚本町３丁目　　　　,ツカモトチヨウ３チヨ,60,75,74,149
11101,西区　　　               ,プラザ　　　　　　　,プラザ　　　　　　　,1503,1600,1739,3339
11101,西区　　　               ,大字島根　　　　　　,シマネ　　　　　　　,492,545,574,1119
11101,西区　　　               ,大字三条町　　　　　,サンジヨウチヨウ　　,209,244,250,494
11101,西区　　　               ,大字植田谷本　　　　,ウエタヤホン　　　　,1267,1207,1254,2461
11101,西区　　　               ,大字中野林　　　　　,ナカノバヤシ　　　　,923,1054,1059,2113
11101,西区　　　               ,大字飯田　　　　　　,イイダ　　　　　　　,449,552,539,1091
11101,西区　　　               ,大字水判土　　　　　,ミズハタ　　　　　　,647,725,766,1491
11101,西区　　　               ,大字佐知川　　　　　,サヂカワ　　　　　　,3303,3678,3798,7476
11101,西区　　　               ,西大宮１丁目　　　　,ニシオオミヤ１チヨウ,989,1037,1076,2113
11101,西区　　　               ,西大宮２丁目　　　　,ニシオオミヤ２チヨウ,553,731,728,1459
