さいたま市町名別人口,2022/4/28,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11101,西区　　　               ,宮前町　　　　　　　,ミヤマエチヨウ　　　,1521,1715,1710,3425
11101,西区　　　               ,三橋５丁目　　　　　,ミハシ５チヨウメ　　,1675,1745,1742,3487
11101,西区　　　               ,三橋６丁目　　　　　,ミハシ６チヨウメ　　,4314,4878,4893,9771
11101,西区　　　               ,大字指扇　　　　　　,サシオウギ　　　　　,8170,8717,8937,17654
11101,西区　　　               ,大字指扇領別所　　　,サシオウギリヨウ　　,1333,1273,1354,2627
11101,西区　　　               ,大字宝来　　　　　　,ホウライ　　　　　　,1840,1834,1948,3782
11101,西区　　　               ,大字峰岸　　　　　　,ミネギシ　　　　　　,313,273,315,588
11101,西区　　　               ,大字指扇領辻　　　　,サシオウギリヨウ　　,177,207,196,403
11101,西区　　　               ,大字中釘　　　　　　,ナカクギ　　　　　　,841,895,956,1851
11101,西区　　　               ,大字高木　　　　　　,タカギ　　　　　　　,1242,1354,1404,2758
11101,西区　　　               ,大字清河寺　　　　　,セイガンジ　　　　　,571,565,615,1180
11101,西区　　　               ,大字内野本郷　　　　,ウチノホンゴウ　　　,2415,2801,2755,5556
11101,西区　　　               ,大字西新井　　　　　,ニシアライ　　　　　,272,299,301,600
11101,西区　　　               ,大字平方領々家　　　,ヒラカタリヨウリヨ　,117,153,146,299
11101,西区　　　               ,大字西遊馬　　　　　,ニシアスマ　　　　　,2132,2213,2272,4485
11101,西区　　　               ,大字土屋　　　　　　,ツチヤ　　　　　　　,1659,1672,1728,3400
11101,西区　　　               ,大字二ツ宮　　　　　,フタツミヤ　　　　　,927,1006,1079,2085
11101,西区　　　               ,大字飯田新田　　　　,イイダシンデン　　　,460,513,482,995
11101,西区　　　               ,大字塚本　　　　　　,ツカモト　　　　　　,20,17,17,34
11101,西区　　　               ,大字植田谷本村新田　,ウエタヤホンムラシン,7,6,6,12
11101,西区　　　               ,湯木町１丁目　　　　,ユギチヨウ１チヨウメ,38,44,46,90
11101,西区　　　               ,湯木町２丁目　　　　,ユギチヨウ２チヨウメ,48,53,55,108
