No,行政区,店舗名,指定区分,住所,内容,店舗詳細,経度,緯度
73,南区,那須家宗庵,[バ・情]  バランスメニュー提供・健康情報発信,南区関2-7-18,和食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=50974,139.634547,35.850355
74,南区,"八海そば松月庵
手打ちそば　ゆたか",[バ・情]  バランスメニュー提供・健康情報発信,南区白幡3-15-1,和食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=50971,139.65098,35.84668
75,南区,星善,[バ・情]  バランスメニュー提供・健康情報発信,南区根岸5-23-7,和食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=50977,139.660162,35.840715
76,南区,紅華,[バ・情]  バランスメニュー提供・健康情報発信,南区太田窪1945-51,中華,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=50972,139.680248,35.854769
77,南区,米粉入りベーグル専門店WAベーグル,[情]  健康情報発信,南区神明1－10－15メゾン・ド・コリン１F,パン,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=51933,139.663031,35.847578
78,緑区,浦和菜館,[バ・情]  バランスメニュー提供・健康情報発信,緑区中尾109-4,中華,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=50981,139.681286,35.872275
79,緑区,丸花,[バ・情]  バランスメニュー提供・健康情報発信,緑区東浦和5-27-2,和食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=50973,139.705379,35.86757
80,緑区,砂場,[バ・情]  バランスメニュー提供・健康情報発信,緑区代山489-3,和食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=50978,139.702836,35.905008
81,緑区,花月庵　つくば,[情]  健康情報発信,緑区原山3-18-15,和菓子,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52112,139.67651,35.87392
82,岩槻区,cafe&naturalfood Fu・Fu・Fu,[バ・情]  バランスメニュー提供・健康情報発信,岩槻区南辻124,和洋,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=31981,139.698492,35.962305
83,岩槻区,cafe&naturalfood fu.fu.fu+ﾌﾟﾗｽ,[バ・情]  バランスメニュー提供・健康情報発信,岩槻区横根364-2,和洋,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=31980,139.701055,35.923247
84,岩槻区,とわそりーぬ,[情]  健康情報発信,岩槻区本町3-10-4,洋菓子,,139.694821,35.949872
85,岩槻区,ポパイラーメン,[バ・情]  バランスメニュー提供・健康情報発信,岩槻区上野2-2-6,中華,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=51935,139.701914,35.970394
86,岩槻区,中華たつのこ,[バ・情]  バランスメニュー提供・健康情報発信,岩槻区本丸2-17-24,中華,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=51962,139.704053,35.955766
87,岩槻区,中華料理ぺきんてい,[バ・情]  バランスメニュー提供・健康情報発信,岩槻区仲町1-4-7,中華,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=51963,139.702643,35.945692
88,岩槻区,"俺の洋食
ボナペティ　ピコ",[バ・情]  バランスメニュー提供・健康情報発信,岩槻区加倉3-9-10,洋食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52037,139.68285,35.94086
89,岩槻区,中華の永楽,[バ・情]  バランスメニュー提供・健康情報発信,岩槻区西町1-4-7,中華,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52115,139.69258,35.95255
90,岩槻区,ヨロ研カフェ,[バ・情]  バランスメニュー提供・健康情報発信,岩槻区本町6-1-2,洋食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52367,139.6993,35.95106
91,岩槻区,和菓子　秋月,[情]  健康情報発信,岩槻区愛宕町10-10,和菓子,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52139,139.69543,35.95528
92,岩槻区,磯崎家宗庵,[情]  健康情報発信,岩槻区本丸2-17-17,和菓子,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52138,139.70483,35.95592
93,岩槻区,有限会社　藤宮製菓,[情]  健康情報発信,岩槻区本町2-1-32,和菓子,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52141,139.69501,35.94736
94,岩槻区,泉食堂,[バ・情]  バランスメニュー提供・健康情報発信,岩槻区仲町1－3－24,中華,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52454,139.70205,35.94475
