さいたま市町名別人口,2022/1/31,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11103,大宮区　　               ,吉敷町１丁目　　　　,キシキチヨウ１チヨウ,653,661,656,1317
11103,大宮区　　               ,吉敷町２丁目　　　　,キシキチヨウ２チヨウ,866,806,785,1591
11103,大宮区　　               ,吉敷町３丁目　　　　,キシキチヨウ３チヨウ,690,628,664,1292
11103,大宮区　　               ,吉敷町４丁目　　　　,キシキチヨウ４チヨウ,789,587,700,1287
11103,大宮区　　               ,浅間町１丁目　　　　,センゲンチヨウ１チヨ,662,583,604,1187
11103,大宮区　　               ,浅間町２丁目　　　　,センゲンチヨウ１チヨ,703,754,750,1504
11103,大宮区　　               ,天沼町１丁目　　　　,アマヌマチヨウ１チヨ,2257,2237,2260,4497
11103,大宮区　　               ,天沼町２丁目　　　　,アマヌマチヨウ２チヨ,2337,2466,2547,5013
11103,大宮区　　               ,堀の内町１丁目　　　,ホリノウチチヨウ１チ,2329,2207,2396,4603
11103,大宮区　　               ,堀の内町２丁目　　　,ホリノウチチヨウ２チ,908,935,937,1872
11103,大宮区　　               ,堀の内町３丁目　　　,ホリノウチチヨウ３チ,1030,1033,1086,2119
11103,大宮区　　               ,寿能町１丁目　　　　,ジユノウチヨウ１チヨ,806,709,765,1474
11103,大宮区　　               ,寿能町２丁目　　　　,ジユノウチヨウ２チヨ,1476,1385,1603,2988
11103,大宮区　　               ,高鼻町１丁目　　　　,タカハナチヨウ１チヨ,994,949,1042,1991
11103,大宮区　　               ,高鼻町２丁目　　　　,タカハナチヨウ２チヨ,677,710,704,1414
11103,大宮区　　               ,高鼻町３丁目　　　　,タカハナチヨウ３チヨ,317,307,338,645
11103,大宮区　　               ,高鼻町４丁目　　　　,タカハナチヨウ４チヨ,4,2,5,7
11103,大宮区　　               ,土手町１丁目　　　　,ドテチヨウ１チヨウメ,1235,1105,1091,2196
11103,大宮区　　               ,土手町２丁目　　　　,ドテチヨウ２チヨウメ,400,390,398,788
11103,大宮区　　               ,土手町３丁目　　　　,ドテチヨウ３チヨウメ,760,707,683,1390
11103,大宮区　　               ,宮町１丁目　　　　　,ミヤチヨウ１チヨウメ,115,77,79,156
11103,大宮区　　               ,宮町２丁目　　　　　,ミヤチヨウ２チヨウメ,221,195,174,369
11103,大宮区　　               ,宮町３丁目　　　　　,ミヤチヨウ３チヨウメ,474,424,386,810
11103,大宮区　　               ,宮町４丁目　　　　　,ミヤチヨウ４チヨウメ,708,523,419,942
11103,大宮区　　               ,宮町５丁目　　　　　,ミヤチヨウ５チヨウメ,479,357,247,604
11103,大宮区　　               ,大門町１丁目　　　　,ダイモンチヨウ１チヨ,12,8,12,20
11103,大宮区　　               ,大門町２丁目　　　　,ダイモンチヨウ２チヨ,21,20,22,42
11103,大宮区　　               ,大門町３丁目　　　　,ダイモンチヨウ３チヨ,738,709,734,1443
11103,大宮区　　               ,仲町１丁目　　　　　,ナカチヨウ１チヨウメ,34,33,23,56
11103,大宮区　　               ,仲町２丁目　　　　　,ナカチヨウ２チヨウメ,49,42,33,75
11103,大宮区　　               ,仲町３丁目　　　　　,ナカチヨウ３チヨウメ,369,301,283,584
11103,大宮区　　               ,下町１丁目　　　　　,シモチヨウ１チヨウメ,188,176,196,372
11103,大宮区　　               ,下町２丁目　　　　　,シモチヨウ２チヨウメ,208,178,134,312
11103,大宮区　　               ,下町３丁目　　　　　,シモチヨウ３チヨウメ,1181,1336,1443,2779
11103,大宮区　　               ,東町１丁目　　　　　,アズマチヨウ１チヨウ,819,782,784,1566
11103,大宮区　　               ,東町２丁目　　　　　,アズマチヨウ２チヨウ,868,815,818,1633
11103,大宮区　　               ,桜木町１丁目　　　　,サクラギチヨウ１チヨ,667,665,739,1404
11103,大宮区　　               ,桜木町２丁目　　　　,サクラギチヨウ２チヨ,845,685,650,1335
11103,大宮区　　               ,桜木町３丁目　　　　,サクラギチヨウ３チヨ,620,590,588,1178
11103,大宮区　　               ,桜木町４丁目　　　　,サクラギチヨウ４チヨ,3055,3045,3023,6068
11103,大宮区　　               ,錦町　　　　　　　　,ニシキチヨウ　　　　,1,2,1,3
11103,大宮区　　               ,大成町１丁目　　　　,オオナリチヨウ１チヨ,2171,2126,2093,4219
11103,大宮区　　               ,大成町２丁目　　　　,オオナリチヨウ２チヨ,1622,1696,1704,3400
11103,大宮区　　               ,大成町３丁目　　　　,オオナリチヨウ３チヨ,2223,2253,2232,4485
11103,大宮区　　               ,＿引町１丁目　　　　,クシヒキチヨウ１チヨ,3129,3334,3419,6753
11103,大宮区　　               ,三橋１丁目　　　　　,ミハシ１チヨウメ　　,4159,4643,4744,9387
11103,大宮区　　               ,三橋２丁目　　　　　,ミハシ２チヨウメ　　,2831,3166,3041,6207
11103,大宮区　　               ,三橋３丁目　　　　　,ミハシ３チヨウメ　　,831,864,840,1704
11103,大宮区　　               ,三橋４丁目　　　　　,ミハシ４チヨウメ　　,2447,2603,2624,5227
11103,大宮区　　               ,上小町　　　　　　　,カミコチヨウ　　　　,5014,4956,5011,9967
11104,見沼区　　               ,大和田町１丁目　　　,オオワダチヨウ１チヨ,4255,4319,4387,8706
11104,見沼区　　               ,大和田町２丁目　　　,オオワダチヨウ２チヨ,3627,3853,4092,7945
11104,見沼区　　               ,大字砂　　　　　　　,スナ　　　　　　　　,4,3,1,4
11104,見沼区　　               ,砂町２丁目　　　　　,スナチヨウ２チヨウメ,1,1,0,1
11104,見沼区　　               ,堀崎町　　　　　　　,ホリサキチヨウ　　　,3712,4083,4147,8230
11104,見沼区　　               ,島町　　　　　　　　,シマチヨウ　　　　　,2179,2403,2536,4939
11104,見沼区　　               ,島町１丁目　　　　　,シマチヨウ１チヨウメ,194,257,259,516
11104,見沼区　　               ,島町２丁目　　　　　,シマチヨウ２チヨウメ,159,251,227,478
11104,見沼区　　               ,東大宮１丁目　　　　,ヒガシオオミヤ１チヨ,1442,1511,1509,3020
11104,見沼区　　               ,東大宮２丁目　　　　,ヒガシオオミヤ２チヨ,1398,1372,1406,2778
11104,見沼区　　               ,東大宮３丁目　　　　,ヒガシオオミヤ３チヨ,1221,1145,1361,2506
11104,見沼区　　               ,東大宮４丁目　　　　,ヒガシオオミヤ４チヨ,2748,2581,2582,5163
11104,見沼区　　               ,東大宮５丁目　　　　,ヒガシオオミヤ５チヨ,1833,1602,1636,3238
11104,見沼区　　               ,東大宮６丁目　　　　,ヒガシオオミヤ６チヨ,1950,1943,1891,3834
11104,見沼区　　               ,東大宮７丁目　　　　,ヒガシオオミヤ７チヨ,2406,2483,2431,4914
11104,見沼区　　               ,大字片柳　　　　　　,カタヤナギ　　　　　,817,846,865,1711
11104,見沼区　　               ,片柳１丁目　　　　　,カタヤナギ１チヨウメ,174,187,189,376
11104,見沼区　　               ,片柳２丁目　　　　　,カタヤナギ２チヨウメ,55,65,64,129
11104,見沼区　　               ,片柳東　　　　　　　,カタヤナギヒガシ　　,5,10,7,17
11104,見沼区　　               ,大字山　　　　　　　,ヤマ　　　　　　　　,226,245,277,522
11104,見沼区　　               ,大字染谷　　　　　　,ソメヤ　　　　　　　,271,332,294,626
11104,見沼区　　               ,染谷１丁目　　　　　,ソメヤ１チヨウメ　　,94,112,114,226
11104,見沼区　　               ,染谷２丁目　　　　　,ソメヤ２チヨウメ　　,83,87,69,156
11104,見沼区　　               ,染谷３丁目　　　　　,ソメヤ３チヨウメ　　,325,335,348,683
11104,見沼区　　               ,大字東新井　　　　　,ヒガシアライ　　　　,2008,1972,2129,4101
11104,見沼区　　               ,大字笹丸　　　　　　,ササマル　　　　　　,126,134,129,263
11104,見沼区　　               ,大字御蔵　　　　　　,ミクラ　　　　　　　,2881,3221,3282,6503
11104,見沼区　　               ,大字南中野　　　　　,ミナミナカノ　　　　,3391,3693,3860,7553
11104,見沼区　　               ,大字南中丸　　　　　,ミナミナカマル　　　,4327,4845,5010,9855
11104,見沼区　　               ,大字中川　　　　　　,ナカガワ　　　　　　,3567,3963,4082,8045
11104,見沼区　　               ,大字上山口新田　　　,カミヤマグチシンデン,345,371,373,744
11104,見沼区　　               ,大字西山村新田　　　,ニシヤマムラシンデン,24,21,23,44
11104,見沼区　　               ,大字新右エ門新田　　,シンウエモンシンデン,38,53,33,86
11104,見沼区　　               ,大字加田屋新田　　　,カタヤシンデン　　　,1,1,2,3
11104,見沼区　　               ,加田屋１丁目　　　　,カタヤ１チヨウメ　　,3,1,3,4
11104,見沼区　　               ,加田屋２丁目　　　　,カタヤ２チヨウメ　　,1,1,0,1
11104,見沼区　　               ,大字西山新田　　　　,ニシヤマシンデン　　,4,4,2,6
11104,見沼区　　               ,大字見山　　　　　　,ミヤマ　　　　　　　,2,1,1,2
11104,見沼区　　               ,大字膝子　　　　　　,ヒザコ　　　　　　　,288,330,333,663
11104,見沼区　　               ,大字大谷　　　　　　,オオヤ　　　　　　　,4469,4699,4712,9411
11104,見沼区　　               ,大字蓮沼　　　　　　,ハスヌマ　　　　　　,4691,5284,5450,10734
11104,見沼区　　               ,大字風渡野　　　　　,フツトノ　　　　　　,2103,2078,2213,4291
11104,見沼区　　               ,大字東門前　　　　　,ヒガシモンゼン　　　,1909,2022,1976,3998
11104,見沼区　　               ,大字東宮下　　　　　,ヒガシミヤシタ　　　,1660,1644,1858,3502
11104,見沼区　　               ,東宮下１丁目　　　　,ヒガシミヤシタ１チヨ,92,82,96,178
11104,見沼区　　               ,東宮下２丁目　　　　,ヒガシミヤシタ２チヨ,204,229,227,456
11104,見沼区　　               ,東宮下３丁目　　　　,ヒガシミヤシタ３チヨ,41,50,51,101
11104,見沼区　　               ,大字新堤　　　　　　,ニイヅツミ　　　　　,1486,1392,1520,2912
11104,見沼区　　               ,大字深作　　　　　　,フカサク　　　　　　,306,326,335,661
11104,見沼区　　               ,深作１丁目　　　　　,フカサク１チヨウメ　,633,800,763,1563
11104,見沼区　　               ,深作２丁目　　　　　,フカサク２チヨウメ　,477,578,544,1122
11104,見沼区　　               ,深作３丁目　　　　　,フカサク３チヨウメ　,679,835,781,1616
11104,見沼区　　               ,深作５丁目　　　　　,フカサク５チヨウメ　,97,129,114,243
11104,見沼区　　               ,春野１丁目　　　　　,ハルノ１チヨウメ　　,1655,1728,1889,3617
11104,見沼区　　               ,春野２丁目　　　　　,ハルノ２チヨウメ　　,441,358,421,779
11104,見沼区　　               ,春野３丁目　　　　　,ハルノ３チヨウメ　　,625,733,754,1487
11104,見沼区　　               ,春野４丁目　　　　　,ハルノ４チヨウメ　　,567,909,905,1814
11104,見沼区　　               ,大字丸ヶ崎　　　　　,マルガサキ　　　　　,668,855,808,1663
11104,見沼区　　               ,丸ヶ崎町　　　　　　,マルガサキチヨウ　　,1325,1432,1312,2744
11104,見沼区　　               ,大字宮ヶ谷塔　　　　,ミヤガヤトウ　　　　,72,71,71,142
11104,見沼区　　               ,宮ヶ谷塔１丁目　　　,ミヤガヤトウ１チヨウ,46,53,60,113
11104,見沼区　　               ,宮ヶ谷塔２丁目　　　,ミヤガヤトウ２チヨウ,3,4,5,9
11104,見沼区　　               ,宮ヶ谷塔３丁目　　　,ミヤガヤトウ３チヨウ,141,154,156,310
11104,見沼区　　               ,宮ヶ谷塔４丁目　　　,ミヤガヤトウ４チヨウ,40,41,31,72
11104,見沼区　　               ,大字小深作　　　　　,コフカサク　　　　　,2774,2918,2976,5894
11104,見沼区　　               ,卸町２丁目　　　　　,オロシマチ２チヨウメ,49,14,35,49
11104,見沼区　　               ,春岡１丁目　　　　　,ハルオカ１チヨウメ　,631,800,818,1618
11104,見沼区　　               ,春岡２丁目　　　　　,ハルオカ２チヨウメ　,938,1147,1147,2294
11104,見沼区　　               ,春岡３丁目　　　　　,ハルオカ３チヨウメ　,1182,1457,1347,2804
11105,中央区　　               ,上落合１丁目　　　　,カミオチアイ１チヨウ,1458,1505,1699,3204
11105,中央区　　               ,上落合２丁目　　　　,カミオチアイ２チヨウ,1660,1778,1952,3730
11105,中央区　　               ,上落合３丁目　　　　,カミオチアイ３チヨウ,1115,1069,1095,2164
11105,中央区　　               ,上落合４丁目　　　　,カミオチアイ４チヨウ,411,406,418,824
11105,中央区　　               ,上落合５丁目　　　　,カミオチアイ５チヨウ,985,968,941,1909
11105,中央区　　               ,上落合６丁目　　　　,カミオチアイ６チヨウ,1129,1409,1449,2858
11105,中央区　　               ,上落合７丁目　　　　,カミオチアイ７チヨウ,1087,1224,1315,2539
11105,中央区　　               ,上落合８丁目　　　　,カミオチアイ８チヨウ,871,789,852,1641
11105,中央区　　               ,上落合９丁目　　　　,カミオチアイ９チヨウ,635,579,572,1151
11105,中央区　　               ,大字下落合　　　　　,シモオチアイ　　　　,1838,1862,2056,3918
11105,中央区　　               ,下落合２丁目　　　　,シモオチアイ２チヨウ,955,888,964,1852
11105,中央区　　               ,下落合３丁目　　　　,シモオチアイ３チヨウ,1057,934,1067,2001
