公設防火水そう,,
2019年9月1日時点,,
日本測地系 10進表記,,
区名,北緯,東経
北区,35.94029167,139.6332806
北区,35.94621667,139.6066583
北区,35.94427222,139.61205
北区,35.94413611,139.6139389
北区,35.93299167,139.6041028
北区,35.94277222,139.6281833
北区,35.94954167,139.5974528
北区,35.94641667,139.5994972
北区,35.94255833,139.6028722
北区,35.94470278,139.6016222
北区,35.95561944,139.6041611
北区,35.92186667,139.6008889
北区,35.93060833,139.6126333
北区,35.95088333,139.6062722
北区,35.91915556,139.6097889
北区,35.92966111,139.6342139
北区,35.93066944,139.6320194
北区,35.92187222,139.633375
北区,35.92275278,139.6338694
北区,35.91646111,139.6164056
北区,35.93451111,139.6247
北区,35.93161389,139.619175
北区,35.93162222,139.6334972
北区,35.92410278,139.631025
北区,35.93173889,139.6404139
北区,35.93590278,139.6380917
北区,35.92894722,139.637075
北区,35.931775,139.6388472
北区,35.92556667,139.6395028
北区,35.91959444,139.6281806
北区,35.92660139,139.6230378
北区,35.93205833,139.6228639
北区,35.92499722,139.6218833
北区,35.92303889,139.626225
北区,35.92836944,139.6258306
北区,35.92926944,139.6288222
大宮区,35.90916944,139.631775
大宮区,35.90661389,139.6274917
大宮区,35.91574444,139.6398972
大宮区,35.91248056,139.6358306
大宮区,35.91166944,139.6303944
大宮区,35.91229444,139.6373417
大宮区,35.90311667,139.6499778
大宮区,35.91051111,139.6188528
大宮区,35.9053,139.620475
大宮区,35.91521944,139.6201944
大宮区,35.89345,139.6132111
大宮区,35.90234167,139.6260472
大宮区,35.89433056,139.6036833
大宮区,35.89788889,139.6051667
大宮区,35.90905278,139.6133389
大宮区,35.90191944,139.6175139
大宮区,35.906375,139.6094111
大宮区,35.89551389,139.6071056
大宮区,35.91448333,139.6157194
大宮区,35.89423889,139.6151306
大宮区,35.90008611,139.6034528
大宮区,35.90683889,139.6187306
大宮区,35.88923611,139.6474361
大宮区,35.89473889,139.6457306
大宮区,35.90012778,139.642075
大宮区,35.88795278,139.6483028
大宮区,35.89148333,139.6481472
大宮区,35.89238333,139.6473611
大宮区,35.89797778,139.634375
大宮区,35.89895,139.6339244
見沼区,35.90228889,139.6829528
見沼区,35.89693611,139.67185
見沼区,35.92218611,139.6861139
見沼区,35.91751944,139.6579639
見沼区,35.9134,139.6589361
見沼区,35.91123056,139.6608522
見沼区,35.91289167,139.6596861
見沼区,35.91273333,139.66065
見沼区,35.91235,139.6606861
見沼区,35.91253611,139.6618111
見沼区,35.90183056,139.6545083
見沼区,35.90308333,139.661375
見沼区,35.90300278,139.6631972
見沼区,35.90208333,139.6640417
見沼区,35.90131528,139.6650711
見沼区,35.90048056,139.6654111
見沼区,35.89798056,139.6646556
見沼区,35.89520556,139.6602222
見沼区,35.89767222,139.6651417
見沼区,35.89826667,139.666625
見沼区,35.90705278,139.6682361
見沼区,35.90805833,139.6839944
見沼区,35.91309167,139.6673778
見沼区,35.91369722,139.6634167
見沼区,35.91329722,139.6600194
見沼区,35.89450556,139.6974472
見沼区,35.91086667,139.6511944
見沼区,35.90471389,139.6667528
見沼区,35.91070833,139.6516778
見沼区,35.91492222,139.6644194
見沼区,35.91135833,139.6524111
見沼区,35.89875,139.6648861
見沼区,35.90138,139.6899544
見沼区,35.91167222,139.6603917
見沼区,35.91084722,139.6569083
見沼区,35.90396389,139.6627361
見沼区,35.90135278,139.6579778
見沼区,35.89771389,139.6670028
見沼区,35.8957,139.6637083
見沼区,35.90365,139.6665417
見沼区,35.90103417,139.6900644
見沼区,35.92858889,139.6828139
