種別,避難所等の定義,施設等の名称,住所,lat,lon,読み,指定緊急避難場所との重複
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,つばさ小学校,埼玉県さいたま市北区宮原町3-902-4,35.93340902,139.6103765,ツバサショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,日進中学校,埼玉県さいたま市北区櫛引町2-503-1,35.92149217,139.6099392,ニッシンチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,宮原中学校,埼玉県さいたま市北区宮原町4-129,35.9518634,139.6050018,ミヤハラチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,植竹中学校,埼玉県さいたま市北区土呂町352,35.93394127,139.626955,ウエタケチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,泰平中学校,埼玉県さいたま市北区本郷町1991,35.9486649,139.6269344,タイヘイチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,土呂中学校,埼玉県さいたま市北区見沼3-75,35.93880644,139.6371754,トロチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,市立大宮北高等学校,埼玉県さいたま市北区奈良町91-1,35.94591026,139.6002462,シリツオオミヤキタコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立大宮工業高等学校,埼玉県さいたま市北区本郷町1970,35.94799233,139.6279437,ケンリツオオミヤコウギョウコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立大宮中央高等学校,埼玉県さいたま市北区櫛引町2-499-1,35.91948833,139.6101805,ケンリツオオミヤチュウオウコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立大宮ろう学園,埼玉県さいたま市北区植竹町2-68,35.93146915,139.625607,ケンリツオオミヤロウガクエン,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,日進公民館,埼玉県さいたま市北区日進町2-1195-2,35.9273636,139.6042253,ニッシンコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,宮原公民館,埼玉県さいたま市北区宮原町4-66-4,35.9469496,139.611055,ミヤハラコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大砂土公民館,埼玉県さいたま市北区本郷町284,35.9389879,139.6301229,オオサトコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,植竹公民館,埼玉県さいたま市北区盆栽町430,35.9273979,139.6281482,ウエタケコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮小学校,埼玉県さいたま市大宮区大門町3-3,35.90661267,139.6297532,オオミヤショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮東小学校,埼玉県さいたま市大宮区堀の内町3-145,35.91404229,139.6358921,オオミヤヒガシショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮南小学校,埼玉県さいたま市大宮区吉敷町3-87,35.90061651,139.6338588,オオミヤミナミショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮北小学校,埼玉県さいたま市大宮区宮町3-84,35.91192522,139.6272421,オオミヤキタショウガッコウ,あり
