種別,避難所等の定義,施設等の名称,住所,lat,lon,読み,指定緊急避難場所との重複
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岸町小学校,埼玉県さいたま市浦和区岸町5-20-4,35.851019,139.650243,キシチョウショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,針ヶ谷小学校,埼玉県さいたま市浦和区領家7-2-1,35.88186306,139.6488455,ハリガヤショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大東小学校,埼玉県さいたま市浦和区大東3-14-1,35.88318109,139.6644045,ダイトウショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,常盤北小学校,埼玉県さいたま市浦和区針ヶ谷4-2-12,35.87879257,139.6390361,トキワキタショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,常盤中学校,埼玉県さいたま市浦和区針ヶ谷4-1-9,35.878154,139.639298,トキワチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,木崎中学校,埼玉県さいたま市浦和区瀬ヶ崎2-17-1,35.879071,139.661463,キザキチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,本太中学校,埼玉県さいたま市浦和区領家1-4-15,35.87321135,139.6585612,モトブトチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大原中学校,埼玉県さいたま市浦和区大原3-1-11,35.89284993,139.6485809,オオハラチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,市立浦和高等学校,埼玉県さいたま市浦和区元町1-28-17,35.87139187,139.6568465,シリツウラワコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立浦和高等学校,埼玉県さいたま市浦和区領家5-3-3,35.87787242,139.6517228,ケンリツウラワコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立浦和西高等学校,埼玉県さいたま市浦和区木崎3-1-1,35.8898078,139.6538,ケンリツウラワニシコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立浦和第一女子高等学校,埼玉県さいたま市浦和区岸町3-8-45,35.85275354,139.6581881,ケンリツウラワダイイチジョシコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,埼玉大学教育学部附属小学校,埼玉県さいたま市浦和区常盤6-9-44,35.86222808,139.6431807,サイタマダイガクキョウイクガクブフゾクショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,浦和駒場体育館,埼玉県さいたま市浦和区駒場2-5-6,35.8724477,139.6622387,ウラワコマバタイイクカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,領家公民館,埼玉県さいたま市浦和区領家4-21-21,35.8820184,139.6537771,リョウケコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,浦和南公民館,埼玉県さいたま市浦和区神明1-28-13,35.8501139,139.6610089,ウラワミナミコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,上木崎公民館,埼玉県さいたま市浦和区上木崎3-2-14,35.8872565,139.6456729,カミキザキコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大東公民館,埼玉県さいたま市浦和区大東2-13-16,35.8833851,139.6626189,ダイトウトウコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,仲本公民館,埼玉県さいたま市浦和区本太2-12-40,35.860599,139.6620446,ナカモトコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,針ヶ谷公民館,埼玉県さいたま市浦和区針ヶ谷3-4-14,35.8827237,139.6419734,ハリガヤコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,本太公民館,埼玉県さいたま市浦和区本太4-3-23,35.8667345,139.6579726,モトブトコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,仲町公民館,埼玉県さいたま市浦和区常盤4-1-12,35.8613599,139.6498568,ナカチョウコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,常盤公民館,埼玉県さいたま市浦和区常盤9-30-1,35.8711746,139.6431436,トキワコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岸町公民館,埼玉県さいたま市浦和区岸町5-1-3,35.8521608,139.6545039,キシチョウコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,北浦和公民館,埼玉県さいたま市浦和区北浦和2-19-25,35.8776134,139.647737,キタウラワコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,南箇公民館,埼玉県さいたま市浦和区領家3-15-10,35.8769415,139.657989,ナンガコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,谷田小学校,埼玉県さいたま市南区太田窪5-10-6,35.85629662,139.6778072,ヤダショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,南浦和小学校,埼玉県さいたま市南区白幡1-1-20,35.84526526,139.6578635,ミナミウラワショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,浦和別所小学校,埼玉県さいたま市南区別所2-5-34,35.84952213,139.6481771,ウラワベッショショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大谷場小学校,埼玉県さいたま市南区南浦和1-18-3,35.85262788,139.6679479,オオヤバショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大谷場東小学校,埼玉県さいたま市南区大谷場2-13-54,35.85320498,139.6746665,オオヤバヒガシショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,西浦和小学校,埼玉県さいたま市南区曲本1-3-5,35.83825332,139.6301593,ニシウラワショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,辻小学校,埼玉県さいたま市南区辻6-3-28,35.83302752,139.6582643,ツジショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,文蔵小学校,埼玉県さいたま市南区文蔵5-16-29,35.83518902,139.6738828,ブゾウショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,沼影小学校,埼玉県さいたま市南区沼影2-8-36,35.83899255,139.6458661,ヌマカゲショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大谷口小学校,埼玉県さいたま市南区広ケ谷戸24,35.86246157,139.6831881,オオヤグチショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,浦和大里小学校,埼玉県さいたま市南区別所7-14-28,35.84472715,139.6435392,ウラワオオサトショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,善前小学校,埼玉県さいたま市南区太田窪2500-1,35.85322775,139.6857782,ゼンマエショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,向小学校,埼玉県さいたま市南区大谷口5437,35.85717693,139.6959235,ムカイショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,辻南小学校,埼玉県さいたま市南区辻8-7-32,35.83148893,139.6651538,ツジミナミショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岸中学校,埼玉県さいたま市南区南本町2-25-27,35.85004199,139.6646959,キシチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,南浦和中学校,埼玉県さいたま市南区辻6-1-33,35.83484142,139.657081,ミナミウラワチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,白幡中学校,埼玉県さいたま市南区白幡2-18-13,35.8486859,139.6526959,シラハタチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大谷場中学校,埼玉県さいたま市南区大谷場2-13-54,35.85339195,139.6742802,オオヤバチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大谷口中学校,埼玉県さいたま市南区広ケ谷戸21,35.86282877,139.6831625,オオヤグチチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,内谷中学校,埼玉県さいたま市南区内谷6-10-1,35.83518024,139.6477737,ウチヤチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,市立浦和南高等学校,埼玉県さいたま市南区辻6-5-31,35.83260196,139.6573989,シリツウラワミナミコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,埼玉大学教育学部附属中学校,埼玉県さいたま市南区別所4-2-5,35.8556583,139.6431789,サイタマダイガクキョウイクガクブフゾクチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,文化センター,埼玉県さいたま市南区根岸1-7-1,35.8434785,139.6635256,ブンカセンター,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,南浦和公民館,埼玉県さいたま市南区大谷場2-6-25,35.8545386,139.67218,ミナミウラワコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,谷田公民館,埼玉県さいたま市南区大谷口1089-1,35.8615157,139.6770044,ヤダコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,六辻公民館,埼玉県さいたま市南区根岸3-10-7,35.8397649,139.662348,ムツジコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,西浦和公民館,埼玉県さいたま市南区曲本2-7-11,35.837782,139.638856,ニシウラワコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,別所公民館,埼玉県さいたま市南区別所5-21-13,35.8494942,139.6436022,ベッショコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,東浦和公民館,埼玉県さいたま市南区大谷口5339,35.8612519,139.695075,ヒガシウラワコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,文蔵公民館,埼玉県さいたま市南区文蔵4-19-3,35.8379653,139.6695974,ブゾウコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,善前公民館,埼玉県さいたま市南区太田窪2504-5,35.853819,139.6870124,ゼンマエコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,三室小学校,埼玉県さいたま市緑区三室1994,35.88400412,139.6817485,ミムロショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,尾間木小学校,埼玉県さいたま市緑区東浦和8-11-5,35.86912942,139.696889,オマギショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,原山小学校,埼玉県さいたま市緑区原山1-30-12,35.86625555,139.6704362,ハラヤマショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大門小学校,埼玉県さいたま市緑区大門1189,35.88069441,139.7335706,ダイモンショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,野田小学校,埼玉県さいたま市緑区上野田16,35.90018028,139.7039063,ノダショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,道祖土小学校,埼玉県さいたま市緑区道祖土1-1-1,35.87464848,139.6686519,サイドショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,中尾小学校,埼玉県さいたま市緑区中尾2596,35.86812698,139.6824773,ナカオショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大牧小学校,埼玉県さいたま市緑区東浦和6-12-3,35.87254416,139.7067728,オオマキショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,芝原小学校,埼玉県さいたま市緑区芝原2-5,35.88186714,139.691495,シバハラショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,美園小学校,埼玉県さいたま市緑区美園5-33,35.89062766,139.7349791,ミソノショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,美園北小学校,埼玉県さいたま市緑区美園2-12-11,35.901191,139.723027,ミソノキタショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,原山中学校,埼玉県さいたま市緑区太田窪1-10-22,35.86629095,139.6668412,ハラヤマチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,東浦和中学校,埼玉県さいたま市緑区中尾1207-1,35.87447283,139.6840767,ヒガシウラワチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,美園中学校,埼玉県さいたま市緑区大崎2550-3,35.89211964,139.7124791,ミソノチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,三室中学校,埼玉県さいたま市緑区馬場1-38-2,35.88682542,139.6842476,ミムロチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,尾間木中学校,埼玉県さいたま市緑区東浦和4-29-1,35.86908342,139.6980681,オマギチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,美園南中学校,埼玉県さいたま市緑区美園6-15,35.8858923,139.736769,ミソノミナミチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立浦和東高等学校,埼玉県さいたま市緑区寺山365,35.90886791,139.7067369,ケンリツウラワヒガシコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,プラザイースト,埼玉県さいたま市緑区中尾1440-8,35.8717506,139.6857172,プラザイースト,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,さくら草特別支援学校,埼玉県さいたま市緑区三室636-80,35.8911064,139.6748453,サクラソウトクベツシエンガッコウ,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立浦和特別支援学校,埼玉県さいたま市緑区大崎58,35.88189922,139.7157227,ケンリツウラワトクベツシエンガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,三室公民館,埼玉県さいたま市緑区三室1946-5,35.8831436,139.6815755,ミムロコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,尾間木公民館,埼玉県さいたま市緑区大間木472,35.87390028,139.694047,オマギコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,原山公民館,埼玉県さいたま市緑区原山2-33-1,35.8714479,139.6685521,ハラヤマコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,美園公民館,埼玉県さいたま市緑区大門1973-1,35.8895824,139.7178632,ミソノコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大古里公民館,埼玉県さいたま市緑区三室2614-2,35.887293,139.6729567,オブサトコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岩槻小学校,埼玉県さいたま市岩槻区本町5-6-45,35.95331729,139.6986444,イワツキショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,太田小学校,埼玉県さいたま市岩槻区仲町1-17-3,35.9479966,139.7038766,オオタショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,川通小学校,埼玉県さいたま市岩槻区大野島422-1,35.94191644,139.7310891,カワドオリショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,柏崎小学校,埼玉県さいたま市岩槻区柏崎762,35.9334352,139.7015702,カシワザキショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,和土小学校,埼玉県さいたま市岩槻区黒谷1353,35.92621955,139.7205316,ワドショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,新和小学校,埼玉県さいたま市岩槻区尾ヶ崎1252,35.91089962,139.7324861,ニイワショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,慈恩寺小学校,埼玉県さいたま市岩槻区慈恩寺259,35.98135585,139.7082973,ジオンジショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,河合小学校,埼玉県さいたま市岩槻区平林寺351,35.96740176,139.6717003,カワイショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,東岩槻小学校,埼玉県さいたま市岩槻区諏訪2-6,35.97024383,139.7091566,ヒガシイワツキショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,城北小学校,埼玉県さいたま市岩槻区岩槻6619,35.96207629,139.6937085,ジョウホクショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,徳力小学校,埼玉県さいたま市岩槻区徳力136-4,35.97410894,139.716556,トクリキショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,上里小学校,埼玉県さいたま市岩槻区上里2-2,35.96533014,139.7042033,カミザトショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,西原小学校,埼玉県さいたま市岩槻区西原6-25,35.95277298,139.6835317,ニシハラショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,城南小学校,埼玉県さいたま市岩槻区南下新井1191-1,35.93591304,139.7124382,ジョウナンショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岩槻中学校,埼玉県さいたま市岩槻区仲町1-14-35,35.94904704,139.7037544,イワツキチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,川通中学校,埼玉県さいたま市岩槻区長宮435,35.94778779,139.7313371,カワドオリチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,城南中学校,埼玉県さいたま市岩槻区笹久保577,35.91495375,139.7270981,ジョウナンチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,慈恩寺中学校,埼玉県さいたま市岩槻区裏慈恩寺505,35.98522901,139.7048096,ジオンジチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,城北中学校,埼玉県さいたま市岩槻区本宿392-1,35.964755,139.689263,ジョウホクチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,桜山中学校,埼玉県さいたま市岩槻区表慈恩寺684-1,35.97251358,139.7112006,サクラヤマチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,柏陽中学校,埼玉県さいたま市岩槻区真福寺454,35.9358986,139.7029743,ハクヨウチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,西原中学校,埼玉県さいたま市岩槻区岩槻3750,35.95516469,139.6814821,ニシハラチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岩槻商業高等学校,埼玉県さいたま市岩槻区太田1-4-1,35.95062774,139.7055918,イワツキショウギョウコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岩槻高等学校,埼玉県さいたま市岩槻区城南1-3-38,35.94176389,139.7039359,イワツキコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岩槻北陵高等学校,埼玉県さいたま市岩槻区慈恩寺117-2,35.97767104,139.7136874,イワツキホクリョウコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,コミュニティセンターいわつき,埼玉県さいたま市岩槻区本町1-10-7,35.9470222,139.6916834,コミュニティセンターイワツキ,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,老人福祉センター槻寿苑,埼玉県さいたま市岩槻区笹久保1393,35.918468,139.7129737,ロウジンフクシセンターツキジュエン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,市民会館いわつき,埼玉県さいたま市岩槻区太田3-1-1,35.9507304,139.7089925,シミンカイカンイワツキ,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岩槻文化公園体育館,埼玉県さいたま市岩槻区村国229,35.9445538,139.7217718,イワツキブンカコウエンタイイクカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,ふれあいプラザいわつき,埼玉県さいたま市岩槻区東岩槻6-6,35.96204,139.716358,フレアイプラザイワツキ,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岩槻本丸公民館,埼玉県さいたま市岩槻区本丸3-17-1,35.9541188,139.7052622,イワツキホンマルコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岩槻南部公民館,埼玉県さいたま市岩槻区笹久保1348-1,35.9164211,139.7157123,イワツキナンブコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岩槻北部公民館,埼玉県さいたま市岩槻区慈恩寺904-1,35.9801095,139.7142573,イワツキホクブコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岩槻本町公民館,埼玉県さいたま市岩槻区本町4-2-25,35.949161,139.6976132,イワツキホンマチコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,岩槻城址公民館,埼玉県さいたま市岩槻区太田3-4-1,35.9517359,139.7107978,イワツキジョウシコウミンカン,
