区名,lat,lon
西区,35.93306389,139.599025
西区,35.92991111,139.5969806
西区,35.93254722,139.5947111
西区,35.93447778,139.5932194
西区,35.93330556,139.59115
西区,35.92609722,139.5880167
西区,35.93147778,139.5993833
西区,35.93390556,139.5965444
西区,35.92886944,139.5973611
西区,35.92854722,139.5991528
西区,35.93110278,139.592225
西区,35.93231944,139.59405
西区,35.92943056,139.5952028
西区,35.93505,139.5957278
西区,35.932275,139.5921556
西区,35.93042778,139.5937083
西区,35.93052222,139.5985083
西区,35.91698056,139.5607472
西区,35.91880417,139.5584922
西区,35.92095833,139.5575056
西区,35.92371667,139.5573083
西区,35.9144,139.5673722
西区,35.92652222,139.5577056
西区,35.91995278,139.5633
西区,35.91815833,139.5667278
西区,35.92889167,139.5945606
西区,35.92214167,139.5703139
西区,35.92071667,139.5648083
西区,35.91691389,139.5582639
西区,35.92495833,139.5570583
西区,35.91580833,139.5674333
西区,35.91011389,139.5886222
西区,35.908525,139.59045
西区,35.90713889,139.5944528
西区,35.90944444,139.5929056
西区,35.91094722,139.5924833
西区,35.91405556,139.5914444
西区,35.91615556,139.5919806
西区,35.91823889,139.592825
西区,35.91995,139.5920306
西区,35.91100833,139.595375
西区,35.91794167,139.5897472
西区,35.919625,139.5884444
西区,35.91206111,139.5909278
西区,35.91201111,139.5920861
西区,35.91498611,139.59165
西区,35.91278056,139.5891028
西区,35.91473333,139.5893111
西区,35.910375,139.5896194
西区,35.91551389,139.5938528
西区,35.91537778,139.5951472
西区,35.91445556,139.5941528
西区,35.91423056,139.5930833
西区,35.913475,139.5907972
西区,35.91365833,139.5896417
西区,35.91434167,139.5882417
西区,35.90873333,139.5917417
西区,35.90821944,139.5928056
西区,35.91066667,139.5943917
西区,35.92048333,139.5669944
西区,35.92118333,139.5673528
西区,35.93103056,139.5770222
西区,35.93591944,139.5813333
西区,35.93804722,139.5835333
西区,35.92213889,139.5718556
西区,35.92335,139.5728778
西区,35.92189167,139.5728417
西区,35.922575,139.5727583
西区,35.92238056,139.5738472
西区,35.92263056,139.5819889
西区,35.93241667,139.5814694
西区,35.93674167,139.578925
西区,35.92130833,139.5700583
西区,35.92300278,139.5744167
西区,35.93139028,139.579015
西区,35.92163333,139.5853889
西区,35.92169444,139.5747361
西区,35.93477778,139.5812111
西区,35.93758611,139.5825472
西区,35.92310556,139.5714833
西区,35.93330278,139.5788556
西区,35.93235556,139.5772833
西区,35.93720278,139.5814028
西区,35.93524444,139.5779917
西区,35.93610833,139.5805806
西区,35.93368889,139.5810306
西区,35.93840278,139.5775194
西区,35.9301,139.5771583
西区,35.93707222,139.5767806
西区,35.91913889,139.5841444
西区,35.92967222,139.5686667
西区,35.92595833,139.5745694
西区,35.90622778,139.5936722
西区,35.90669444,139.5930333
西区,35.90766389,139.5917028
西区,35.89802222,139.5991972
西区,35.8998,139.5979639
西区,35.90173333,139.5966222
西区,35.902975,139.5958972
西区,35.90597778,139.595125
西区,35.90816667,139.595275
西区,35.90786389,139.5968444
西区,35.90904306,139.5962944
西区,35.90739444,139.5964222
西区,35.90662778,139.5960389
西区,35.90175278,139.5980306
西区,35.90169167,139.599175
西区,35.90565833,139.5995111
西区,35.90024444,139.5964556
西区,35.90424167,139.5957667
西区,35.90076111,139.5971667
西区,35.90829722,139.5971167
西区,35.90954167,139.5969361
西区,35.90668889,139.5983417
西区,35.90638889,139.5968722
西区,35.90978889,139.5959389
西区,35.93516111,139.5861639
西区,35.9257,139.5832389
西区,35.91901944,139.5818639
西区,35.91591944,139.5798472
西区,35.91450833,139.5872889
西区,35.9257625,139.5931167
西区,35.92611667,139.5994056
西区,35.92914444,139.5939167
西区,35.93919167,139.5874306
西区,35.93361389,139.587625
西区,35.92735,139.5872583
西区,35.92326667,139.5847917
西区,35.93162222,139.5874389
西区,35.93098889,139.5915694
西区,35.93811944,139.5864472
西区,35.92294444,139.5629889
西区,35.92212222,139.5650361
西区,35.92653889,139.5632111
西区,35.92285833,139.5654167
西区,35.92127778,139.5654889
西区,35.92000556,139.5659417
西区,35.91924444,139.5716389
西区,35.93264167,139.600025
西区,35.91769722,139.5658583
西区,35.90939444,139.589275
西区,35.90800556,139.59395
西区,35.9168,139.5900361
西区,35.91344722,139.5884417
西区,35.91039167,139.5931889
西区,35.90499167,139.5997639
西区,35.93666806,139.5752872
西区,35.92795556,139.5670083
西区,35.91405556,139.5791278
西区,35.91516389,139.5682889
西区,35.90346389,139.597725
西区,35.90663333,139.5862417
西区,35.90950833,139.5827083
西区,35.90931389,139.5813139
西区,35.91082222,139.5751639
西区,35.91098333,139.5725944
西区,35.92677222,139.5712556
西区,35.93093889,139.57495
西区,35.92789167,139.5971694
西区,35.93443333,139.5707028
西区,35.93379722,139.57565
西区,35.93543333,139.5895806
西区,35.90514444,139.5954139
西区,35.90566944,139.5843722
西区,35.90816111,139.5833583
西区,35.90894444,139.5769111
西区,35.92055,139.5675611
西区,35.90506111,139.5902139
西区,35.90283889,139.5969194
西区,35.90273333,139.5978583
西区,35.91386111,139.5827917
西区,35.89875556,139.5985944
西区,35.90975556,139.5863917
西区,35.91026389,139.5882583
西区,35.92760556,139.5685556
西区,35.91122222,139.5856917
西区,35.90825833,139.5814111
西区,35.92096528,139.5942756
西区,35.90738611,139.5820167
西区,35.90905556,139.5906333
西区,35.90929167,139.5919583
西区,35.93381667,139.5778528
西区,35.93307222,139.5794917
西区,35.93448333,139.5763889
西区,35.931425,139.5970139
西区,35.91632778,139.5880139
西区,35.92867222,139.5568222
西区,35.92260278,139.5952417
西区,35.91551944,139.5766361
西区,35.93475,139.5875833
西区,35.90976389,139.5751667
西区,35.91235556,139.5912667
西区,35.91256111,139.5929222
西区,35.90730556,139.5800333
西区,35.91670556,139.5664444
西区,35.91370833,139.5698306
西区,35.91009444,139.5746583
西区,35.90760278,139.5859583
西区,35.91345278,139.5966556
西区,35.91578056,139.5965028
西区,35.91784444,139.5963667
西区,35.92004444,139.5962256
西区,35.92418611,139.5592056
西区,35.90795278,139.5847389
西区,35.91077222,139.5819639
西区,35.921255,139.5817583
西区,35.91791111,139.5595944
西区,35.92591944,139.5820028
西区,35.92323056,139.5621889
西区,35.91241944,139.5753889
西区,35.93242778,139.5979167
西区,35.92075417,139.5794439
西区,35.92128194,139.5860294
西区,35.90949444,139.5877389
西区,35.92895556,139.5984306
西区,35.9323,139.5787083
西区,35.91659444,139.5943639
西区,35.91704944,139.59509
西区,35.93523611,139.5803139
西区,35.923425,139.5897389
西区,35.91519722,139.5960389
西区,35.92392917,139.5874044
西区,35.92732778,139.5859361
西区,35.91571389,139.5745361
西区,35.91706944,139.574075
西区,35.92789722,139.5997028
西区,35.91251667,139.5967389
西区,35.91764167,139.5892889
西区,35.91141389,139.5898111
西区,35.90714167,139.5835667
西区,35.90516944,139.5861028
西区,35.90383333,139.5871
西区,35.92067778,139.5753083
西区,35.93188056,139.5907333
西区,35.9211,139.5759417
西区,35.93647222,139.5796889
西区,35.91912778,139.5935861
西区,35.93378611,139.5866528
西区,35.92522778,139.5912083
西区,35.91841944,139.5911806
西区,35.9069,139.5891361
西区,35.91926389,139.5921194
西区,35.93231944,139.5961972
西区,35.93404444,139.5803639
西区,35.932525,139.5908278
西区,35.916325,139.5650833
西区,35.91163611,139.5933972
西区,35.911325,139.5773194
西区,35.90078333,139.5981944
西区,35.90909167,139.5858333
西区,35.90585,139.5907167
西区,35.92254722,139.564175
西区,35.91594167,139.5909972
西区,35.91273333,139.5761417
西区,35.92681111,139.5949311
西区,35.92799444,139.5948294
西区,35.92513194,139.5967628
西区,35.92834167,139.5688722
西区,35.91964722,139.5875111
西区,35.90895278,139.5946417
西区,35.91727778,139.5924472
西区,35.93693056,139.5727528
西区,35.90981944,139.5911556
西区,35.93275833,139.5784667
西区,35.9323,139.5858111
西区,35.93707222,139.5849056
西区,35.92691944,139.59865
西区,35.91171389,139.5910167
西区,35.93553333,139.5750361
西区,35.93367778,139.5943389
西区,35.93489167,139.5923806
西区,35.92514444,139.5606417
西区,35.92498611,139.5992806
西区,35.91346944,139.5665028
西区,35.91401111,139.56535
西区,35.91469444,139.5643056
西区,35.92161111,139.5659972
西区,35.93057778,139.5879889
西区,35.91665139,139.5964567
西区,35.91881528,139.5962772
西区,35.92610556,139.6007356
西区,35.92696944,139.6000722
西区,35.91906389,139.5950878
西区,35.92825833,139.595875
西区,35.92651389,139.5919639
西区,35.92552361,139.5893661
西区,35.92236944,139.5962194
西区,35.92141944,139.5925922
西区,35.91994722,139.5935472
西区,35.92464861,139.5878189
西区,35.91521111,139.5882444
西区,35.908025,139.5916028
西区,35.91719722,139.5914972
西区,35.918275,139.5879111
西区,35.90968333,139.5943417
西区,35.90772778,139.5928389
西区,35.91219722,139.5901111
西区,35.910225,139.590325
西区,35.91092222,139.5907694
西区,35.91371944,139.5917639
西区,35.90819167,139.5904944
西区,35.91481389,139.5950472
西区,35.911425,139.5974167
西区,35.91173611,139.5997278
西区,35.93150556,139.5826778
西区,35.93191944,139.5830667
西区,35.92093611,139.5663472
西区,35.93459167,139.58205
西区,35.93926111,139.5814028
西区,35.92408611,139.5739056
西区,35.92083278,139.5689567
西区,35.92058056,139.5772578
西区,35.93007222,139.5764167
西区,35.93170278,139.579925
西区,35.91242917,139.5963483
西区,35.91629167,139.5626194
西区,35.92605556,139.5867639
西区,35.91134167,139.5846111
西区,35.91003889,139.5829556
西区,35.91071111,139.5827139
西区,35.93693056,139.588725
