種別,避難所等の定義,施設等の名称,住所,lat,lon,読み,地震,洪水,崖崩れ,大規模な火事,指定避難所との重複
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,県立大宮北特別支援学校,埼玉県さいたま市西区中釘後谷2290-1,35.94321217,139.5739819,ケンリツオオミヤキタトクベツシエンガッコウ,可,不可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,西遊馬公園,埼玉県さいたま市西区西遊馬3433-1外,35.90459918,139.5608514,ニシアスマコウエン,可,不可,可,可,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,三橋総合公園,埼玉県さいたま市西区三橋5-190,35.913188,139.5959882,ミハシソウゴウコウエン,可,不可,可,可,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,鴨川みずべの里,埼玉県さいたま市西区大字水判土109-1,35.89727153,139.5972249,カモガワミズベノサト,可,不可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,宝来運動公園,埼玉県さいたま市西区大字宝来2022-1,35.9333318,139.5507293,ホウライウンドウコウエン,可,不可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,秋葉の森総合公園,埼玉県さいたま市西区大字中釘1241-1先,35.93604214,139.5654708,アキバノモリソウゴウコウエン,可,不可,可,可,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,埼玉栄中学・高等学校,埼玉県さいたま市西区西大宮3-11-1,35.92553036,139.5775675,サイタマサカエチュウガクコウトウガッコウ,可,不可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,東大成小学校,埼玉県さいたま市北区東大成町2-12,35.92493692,139.6187689,ヒガシオオナリショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,日進小学校,埼玉県さいたま市北区日進町2-911,35.92522957,139.6074386,ニッシンショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,日進北小学校,埼玉県さいたま市北区日進町3-178,35.9369061,139.6041502,ニッシンキタショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,宮原小学校,埼玉県さいたま市北区宮原町4-102-6,35.94910214,139.6061345,ミヤハラショウガッコウ,可,可,可,,あり
