さいたま市町名別人口,2022/5/31,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11103,大宮区　　               ,吉敷町１丁目　　　　,キシキチヨウ１チヨウ,633,630,636,1266
11103,大宮区　　               ,吉敷町２丁目　　　　,キシキチヨウ２チヨウ,947,854,819,1673
11103,大宮区　　               ,吉敷町３丁目　　　　,キシキチヨウ３チヨウ,703,636,673,1309
11103,大宮区　　               ,吉敷町４丁目　　　　,キシキチヨウ４チヨウ,791,587,681,1268
11103,大宮区　　               ,浅間町１丁目　　　　,センゲンチヨウ１チヨ,690,591,626,1217
11103,大宮区　　               ,浅間町２丁目　　　　,センゲンチヨウ１チヨ,717,762,764,1526
11103,大宮区　　               ,天沼町１丁目　　　　,アマヌマチヨウ１チヨ,2279,2254,2282,4536
11103,大宮区　　               ,天沼町２丁目　　　　,アマヌマチヨウ２チヨ,2382,2500,2575,5075
11103,大宮区　　               ,堀の内町１丁目　　　,ホリノウチチヨウ１チ,2363,2198,2410,4608
11103,大宮区　　               ,堀の内町２丁目　　　,ホリノウチチヨウ２チ,914,924,944,1868
11103,大宮区　　               ,堀の内町３丁目　　　,ホリノウチチヨウ３チ,1054,1039,1102,2141
11103,大宮区　　               ,寿能町１丁目　　　　,ジユノウチヨウ１チヨ,839,739,807,1546
11103,大宮区　　               ,寿能町２丁目　　　　,ジユノウチヨウ２チヨ,1462,1349,1567,2916
11103,大宮区　　               ,高鼻町１丁目　　　　,タカハナチヨウ１チヨ,1010,946,1057,2003
11103,大宮区　　               ,高鼻町２丁目　　　　,タカハナチヨウ２チヨ,687,718,710,1428
11103,大宮区　　               ,高鼻町３丁目　　　　,タカハナチヨウ３チヨ,316,309,336,645
11103,大宮区　　               ,高鼻町４丁目　　　　,タカハナチヨウ４チヨ,4,2,5,7
11103,大宮区　　               ,土手町１丁目　　　　,ドテチヨウ１チヨウメ,1252,1115,1093,2208
11103,大宮区　　               ,土手町２丁目　　　　,ドテチヨウ２チヨウメ,411,398,400,798
11103,大宮区　　               ,土手町３丁目　　　　,ドテチヨウ３チヨウメ,759,711,681,1392
11103,大宮区　　               ,宮町１丁目　　　　　,ミヤチヨウ１チヨウメ,109,73,75,148
11103,大宮区　　               ,宮町２丁目　　　　　,ミヤチヨウ２チヨウメ,216,189,175,364
11103,大宮区　　               ,宮町３丁目　　　　　,ミヤチヨウ３チヨウメ,475,432,394,826
11103,大宮区　　               ,宮町４丁目　　　　　,ミヤチヨウ４チヨウメ,719,530,426,956
11103,大宮区　　               ,宮町５丁目　　　　　,ミヤチヨウ５チヨウメ,479,367,234,601
11103,大宮区　　               ,大門町１丁目　　　　,ダイモンチヨウ１チヨ,12,8,12,20
11103,大宮区　　               ,大門町２丁目　　　　,ダイモンチヨウ２チヨ,21,20,22,42
11103,大宮区　　               ,大門町３丁目　　　　,ダイモンチヨウ３チヨ,771,733,756,1489
11103,大宮区　　               ,仲町１丁目　　　　　,ナカチヨウ１チヨウメ,34,33,23,56
11103,大宮区　　               ,仲町２丁目　　　　　,ナカチヨウ２チヨウメ,48,42,32,74
11103,大宮区　　               ,仲町３丁目　　　　　,ナカチヨウ３チヨウメ,372,309,282,591
11103,大宮区　　               ,下町１丁目　　　　　,シモチヨウ１チヨウメ,183,174,183,357
11103,大宮区　　               ,下町２丁目　　　　　,シモチヨウ２チヨウメ,261,211,153,364
11103,大宮区　　               ,下町３丁目　　　　　,シモチヨウ３チヨウメ,1177,1304,1431,2735
11103,大宮区　　               ,東町１丁目　　　　　,アズマチヨウ１チヨウ,823,788,780,1568
11103,大宮区　　               ,東町２丁目　　　　　,アズマチヨウ２チヨウ,906,828,840,1668
11103,大宮区　　               ,桜木町１丁目　　　　,サクラギチヨウ１チヨ,660,656,738,1394
11103,大宮区　　               ,桜木町２丁目　　　　,サクラギチヨウ２チヨ,842,686,646,1332
11103,大宮区　　               ,桜木町３丁目　　　　,サクラギチヨウ３チヨ,603,570,581,1151
11103,大宮区　　               ,桜木町４丁目　　　　,サクラギチヨウ４チヨ,3071,3050,3015,6065
11103,大宮区　　               ,錦町　　　　　　　　,ニシキチヨウ　　　　,1,2,1,3
11103,大宮区　　               ,大成町１丁目　　　　,オオナリチヨウ１チヨ,2245,2143,2135,4278
11103,大宮区　　               ,大成町２丁目　　　　,オオナリチヨウ２チヨ,1659,1741,1722,3463
11103,大宮区　　               ,大成町３丁目　　　　,オオナリチヨウ３チヨ,2277,2290,2261,4551
11103,大宮区　　               ,＿引町１丁目　　　　,クシヒキチヨウ１チヨ,3154,3333,3440,6773
11103,大宮区　　               ,三橋１丁目　　　　　,ミハシ１チヨウメ　　,4206,4678,4759,9437
11103,大宮区　　               ,三橋２丁目　　　　　,ミハシ２チヨウメ　　,2848,3141,3042,6183
11103,大宮区　　               ,三橋３丁目　　　　　,ミハシ３チヨウメ　　,838,871,843,1714
11103,大宮区　　               ,三橋４丁目　　　　　,ミハシ４チヨウメ　　,2475,2608,2635,5243
11103,大宮区　　               ,上小町　　　　　　　,カミコチヨウ　　　　,5033,4969,5006,9975
11104,見沼区　　               ,大和田町１丁目　　　,オオワダチヨウ１チヨ,4294,4319,4390,8709
11104,見沼区　　               ,大和田町２丁目　　　,オオワダチヨウ２チヨ,3649,3847,4100,7947
11104,見沼区　　               ,大字砂　　　　　　　,スナ　　　　　　　　,4,3,1,4
11104,見沼区　　               ,砂町２丁目　　　　　,スナチヨウ２チヨウメ,1,1,0,1
11104,見沼区　　               ,堀崎町　　　　　　　,ホリサキチヨウ　　　,3714,4055,4120,8175
11104,見沼区　　               ,島町　　　　　　　　,シマチヨウ　　　　　,2191,2410,2547,4957
11104,見沼区　　               ,島町１丁目　　　　　,シマチヨウ１チヨウメ,193,255,254,509
11104,見沼区　　               ,島町２丁目　　　　　,シマチヨウ２チヨウメ,161,253,227,480
11104,見沼区　　               ,東大宮１丁目　　　　,ヒガシオオミヤ１チヨ,1437,1507,1509,3016
11104,見沼区　　               ,東大宮２丁目　　　　,ヒガシオオミヤ２チヨ,1393,1350,1407,2757
11104,見沼区　　               ,東大宮３丁目　　　　,ヒガシオオミヤ３チヨ,1224,1127,1372,2499
11104,見沼区　　               ,東大宮４丁目　　　　,ヒガシオオミヤ４チヨ,2778,2581,2585,5166
11104,見沼区　　               ,東大宮５丁目　　　　,ヒガシオオミヤ５チヨ,1850,1611,1627,3238
11104,見沼区　　               ,東大宮６丁目　　　　,ヒガシオオミヤ６チヨ,1956,1945,1893,3838
11104,見沼区　　               ,東大宮７丁目　　　　,ヒガシオオミヤ７チヨ,2413,2474,2439,4913
11104,見沼区　　               ,大字片柳　　　　　　,カタヤナギ　　　　　,817,828,850,1678
11104,見沼区　　               ,片柳１丁目　　　　　,カタヤナギ１チヨウメ,175,187,187,374
11104,見沼区　　               ,片柳２丁目　　　　　,カタヤナギ２チヨウメ,55,65,63,128
11104,見沼区　　               ,片柳東　　　　　　　,カタヤナギヒガシ　　,5,10,7,17
11104,見沼区　　               ,大字山　　　　　　　,ヤマ　　　　　　　　,221,238,274,512
11104,見沼区　　               ,大字染谷　　　　　　,ソメヤ　　　　　　　,268,333,289,622
11104,見沼区　　               ,染谷１丁目　　　　　,ソメヤ１チヨウメ　　,91,109,111,220
11104,見沼区　　               ,染谷２丁目　　　　　,ソメヤ２チヨウメ　　,81,84,68,152
11104,見沼区　　               ,染谷３丁目　　　　　,ソメヤ３チヨウメ　　,326,335,347,682
11104,見沼区　　               ,大字東新井　　　　　,ヒガシアライ　　　　,2008,1955,2114,4069
11104,見沼区　　               ,大字笹丸　　　　　　,ササマル　　　　　　,127,132,131,263
11104,見沼区　　               ,大字御蔵　　　　　　,ミクラ　　　　　　　,2912,3235,3306,6541
11104,見沼区　　               ,大字南中野　　　　　,ミナミナカノ　　　　,3455,3761,3925,7686
11104,見沼区　　               ,大字南中丸　　　　　,ミナミナカマル　　　,4380,4855,5025,9880
11104,見沼区　　               ,大字中川　　　　　　,ナカガワ　　　　　　,3595,3981,4117,8098
11104,見沼区　　               ,大字上山口新田　　　,カミヤマグチシンデン,346,370,371,741
11104,見沼区　　               ,大字西山村新田　　　,ニシヤマムラシンデン,24,21,23,44
11104,見沼区　　               ,大字新右エ門新田　　,シンウエモンシンデン,36,51,33,84
11104,見沼区　　               ,大字加田屋新田　　　,カタヤシンデン　　　,1,1,2,3
11104,見沼区　　               ,加田屋１丁目　　　　,カタヤ１チヨウメ　　,3,1,3,4
11104,見沼区　　               ,加田屋２丁目　　　　,カタヤ２チヨウメ　　,1,1,0,1
11104,見沼区　　               ,大字西山新田　　　　,ニシヤマシンデン　　,4,4,2,6
11104,見沼区　　               ,大字見山　　　　　　,ミヤマ　　　　　　　,1,0,1,1
11104,見沼区　　               ,大字膝子　　　　　　,ヒザコ　　　　　　　,284,321,327,648
11104,見沼区　　               ,大字大谷　　　　　　,オオヤ　　　　　　　,4466,4672,4681,9353
11104,見沼区　　               ,大字蓮沼　　　　　　,ハスヌマ　　　　　　,4710,5258,5427,10685
11104,見沼区　　               ,大字風渡野　　　　　,フツトノ　　　　　　,1776,1716,1861,3577
11104,見沼区　　               ,大字東門前　　　　　,ヒガシモンゼン　　　,1928,2019,1988,4007
11104,見沼区　　               ,大字東宮下　　　　　,ヒガシミヤシタ　　　,1658,1659,1850,3509
11104,見沼区　　               ,東宮下１丁目　　　　,ヒガシミヤシタ１チヨ,93,85,95,180
11104,見沼区　　               ,東宮下２丁目　　　　,ヒガシミヤシタ２チヨ,202,228,226,454
11104,見沼区　　               ,東宮下３丁目　　　　,ヒガシミヤシタ３チヨ,42,51,52,103
11104,見沼区　　               ,大字新堤　　　　　　,ニイヅツミ　　　　　,1477,1376,1502,2878
11104,見沼区　　               ,大字深作　　　　　　,フカサク　　　　　　,355,364,345,709
11104,見沼区　　               ,深作１丁目　　　　　,フカサク１チヨウメ　,651,804,772,1576
11104,見沼区　　               ,深作２丁目　　　　　,フカサク２チヨウメ　,480,579,544,1123
11104,見沼区　　               ,深作３丁目　　　　　,フカサク３チヨウメ　,683,827,775,1602
11104,見沼区　　               ,深作５丁目　　　　　,フカサク５チヨウメ　,96,129,113,242
11104,見沼区　　               ,春野１丁目　　　　　,ハルノ１チヨウメ　　,1659,1716,1882,3598
11104,見沼区　　               ,春野２丁目　　　　　,ハルノ２チヨウメ　　,442,360,422,782
11104,見沼区　　               ,春野３丁目　　　　　,ハルノ３チヨウメ　　,619,723,749,1472
11104,見沼区　　               ,春野４丁目　　　　　,ハルノ４チヨウメ　　,568,893,900,1793
11104,見沼区　　               ,大字丸ヶ崎　　　　　,マルガサキ　　　　　,683,868,829,1697
11104,見沼区　　               ,丸ヶ崎町　　　　　　,マルガサキチヨウ　　,1347,1442,1312,2754
11104,見沼区　　               ,大字宮ヶ谷塔　　　　,ミヤガヤトウ　　　　,72,73,67,140
11104,見沼区　　               ,宮ヶ谷塔１丁目　　　,ミヤガヤトウ１チヨウ,48,54,59,113
11104,見沼区　　               ,宮ヶ谷塔２丁目　　　,ミヤガヤトウ２チヨウ,3,4,5,9
11104,見沼区　　               ,宮ヶ谷塔３丁目　　　,ミヤガヤトウ３チヨウ,141,155,154,309
11104,見沼区　　               ,宮ヶ谷塔４丁目　　　,ミヤガヤトウ４チヨウ,40,41,31,72
11104,見沼区　　               ,大字小深作　　　　　,コフカサク　　　　　,2822,2940,3006,5946
11104,見沼区　　               ,卸町２丁目　　　　　,オロシマチ２チヨウメ,45,14,31,45
11104,見沼区　　               ,春岡１丁目　　　　　,ハルオカ１チヨウメ　,637,805,830,1635
11104,見沼区　　               ,春岡２丁目　　　　　,ハルオカ２チヨウメ　,937,1154,1139,2293
11104,見沼区　　               ,春岡３丁目　　　　　,ハルオカ３チヨウメ　,1194,1472,1342,2814
11104,見沼区　　               ,風渡野１丁目　　　　,フツトノ１チヨウメ　,107,119,120,239
11104,見沼区　　               ,風渡野２丁目　　　　,フツトノ２チヨウメ　,216,228,232,460
11105,中央区　　               ,上落合１丁目　　　　,カミオチアイ１チヨウ,1457,1483,1683,3166
11105,中央区　　               ,上落合２丁目　　　　,カミオチアイ２チヨウ,1657,1778,1941,3719
11105,中央区　　               ,上落合３丁目　　　　,カミオチアイ３チヨウ,1140,1071,1111,2182
11105,中央区　　               ,上落合４丁目　　　　,カミオチアイ４チヨウ,421,405,428,833
11105,中央区　　               ,上落合５丁目　　　　,カミオチアイ５チヨウ,974,950,930,1880
11105,中央区　　               ,上落合６丁目　　　　,カミオチアイ６チヨウ,1126,1397,1440,2837
11105,中央区　　               ,上落合７丁目　　　　,カミオチアイ７チヨウ,1086,1226,1305,2531
11105,中央区　　               ,上落合８丁目　　　　,カミオチアイ８チヨウ,874,788,857,1645
11105,中央区　　               ,上落合９丁目　　　　,カミオチアイ９チヨウ,659,601,589,1190
11105,中央区　　               ,大字下落合　　　　　,シモオチアイ　　　　,1838,1852,2030,3882
11105,中央区　　               ,下落合２丁目　　　　,シモオチアイ２チヨウ,981,907,980,1887
11105,中央区　　               ,下落合３丁目　　　　,シモオチアイ３チヨウ,1058,926,1050,1976
11105,中央区　　               ,下落合４丁目　　　　,シモオチアイ４チヨウ,867,767,786,1553
11105,中央区　　               ,下落合５丁目　　　　,シモオチアイ５チヨウ,752,691,692,1383
11105,中央区　　               ,下落合６丁目　　　　,シモオチアイ６チヨウ,1089,926,947,1873
11105,中央区　　               ,下落合７丁目　　　　,シモオチアイ７チヨウ,817,725,766,1491
